team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2023,8000,0.012346,500,0.166667,0,0
ARI,2023,12373,0.008018,706,0.124097,0,0
BOS,2023,2500,0.038462,-165,0.622642,1,0
BUF,2023,6600,0.014925,325,0.235294,0,0
CAR,2023,1200,0.076923,-700,0.875,1,0
CBJ,2023,10000,0.009901,450,0.181818,0,0
CGY,2023,1800,0.052632,-600,0.857143,0,0
CHI,2023,10000,0.009901,2800,0.034483,0,0
COL,2023,450,0.181818,-5000,0.980392,1,0
DAL,2023,4000,0.02439,-155,0.607843,1,0
DET,2023,5000,0.019608,275,0.266667,0,0
EDM,2023,1600,0.058824,-700,0.875,1,0
FLA,2023,1000,0.090909,-700,0.875,1,0
LA,2023,4000,0.02439,-200,0.666667,1,0
MIN,2023,1800,0.052632,-400,0.8,1,0
MTL,2023,15000,0.006623,1200,0.076923,0,0
NJ,2023,8000,0.012346,165,0.377358,1,0
NSH,2023,5000,0.019608,-200,0.666667,0,0
NYI,2023,3000,0.032258,-130,0.565217,1,0
NYR,2023,2000,0.047619,-275,0.733333,1,0
OTT,2023,8000,0.012346,210,0.322581,0,0
PHI,2023,6600,0.014925,850,0.105263,0,0
PIT,2023,2000,0.047619,-450,0.818182,0,0
SEA,2023,12500,0.007937,350,0.222222,1,0
SJ,2023,10000,0.009901,750,0.117647,0,0
STL,2023,2200,0.043478,-190,0.655172,0,0
TB,2023,900,0.1,-700,0.875,1,0
TOR,2023,850,0.105263,-1000,0.909091,1,0
VAN,2023,5000,0.019608,-130,0.565217,0,0
VGK,2023,1400,0.066667,-250,0.714286,1,1
WPG,2023,6600,0.014925,175,0.363636,1,0
WSH,2023,3500,0.027778,-160,0.615385,0,0
