team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2019,2150,0.044444,-190,0.655172,0,0
ARI,2019,4534,0.021577,403,0.198675,0,0
BOS,2019,1050,0.086957,-500,0.833333,1,0
BUF,2019,10000,0.009901,275,0.266667,0,0
CAR,2019,6000,0.016393,165,0.377358,1,0
CBJ,2019,2300,0.041667,-300,0.75,1,0
CGY,2019,2800,0.034483,-145,0.591837,1,0
CHI,2019,3000,0.032258,250,0.285714,0,0
COL,2019,4000,0.02439,150,0.4,1,0
DAL,2019,2700,0.035714,-165,0.622642,1,0
DET,2019,10000,0.009901,525,0.16,0,0
EDM,2019,2300,0.041667,-135,0.574468,0,0
FLA,2019,4500,0.021739,-210,0.677419,0,0
LA,2019,3000,0.032258,-155,0.607843,0,0
MIN,2019,3000,0.032258,-170,0.62963,0,0
MTL,2019,6000,0.016393,375,0.210526,0,0
NJ,2019,3800,0.025641,-115,0.534884,0,0
NSH,2019,950,0.095238,-500,0.833333,1,0
NYI,2019,7000,0.014085,300,0.25,1,0
NYR,2019,8000,0.012346,425,0.190476,0,0
OTT,2019,10000,0.009901,900,0.1,0,0
PHI,2019,3000,0.032258,-220,0.6875,0,0
PIT,2019,1100,0.083333,-625,0.862069,1,0
SJ,2019,2000,0.047619,-350,0.777778,1,0
STL,2019,3800,0.025641,-175,0.636364,1,1
TB,2019,950,0.095238,-800,0.888889,1,0
TOR,2019,1300,0.071429,-800,0.888889,1,0
VAN,2019,8000,0.012346,850,0.105263,0,0
VGK,2019,1300,0.071429,-300,0.75,1,0
WPG,2019,1100,0.083333,-700,0.875,1,0
WSH,2019,1150,0.08,-325,0.764706,1,0
