team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2017,1700,0.055556,-225,0.692308,1,0
ARI,2017,12373,0.008018,706,0.124097,0,0
BOS,2017,3000,0.032258,-150,0.6,1,0
BUF,2017,6000,0.016393,240,0.294118,0,0
CAR,2017,10000,0.009901,250,0.285714,0,0
CBJ,2017,5000,0.019608,300,0.25,1,0
CGY,2017,6000,0.016393,-105,0.512195,1,0
CHI,2017,1200,0.076923,-650,0.866667,1,0
COL,2017,6000,0.016393,140,0.416667,0,0
DAL,2017,1400,0.066667,-300,0.75,0,0
DET,2017,4000,0.02439,120,0.454545,0,0
EDM,2017,5000,0.019608,130,0.434783,1,0
FLA,2017,2000,0.047619,215,0.31746,0,0
LA,2017,1500,0.0625,-240,0.705882,0,0
MIN,2017,2000,0.047619,-135,0.574468,1,0
MTL,2017,2000,0.047619,-180,0.642857,1,0
NJ,2017,9000,0.010989,275,0.266667,0,0
NSH,2017,2500,0.038462,-275,0.733333,1,0
NYI,2017,3000,0.032258,-225,0.692308,0,0
NYR,2017,2500,0.038462,-260,0.722222,1,0
OTT,2017,5000,0.019608,250,0.285714,1,0
PHI,2017,4000,0.02439,-150,0.6,0,0
PIT,2017,825,0.108108,-800,0.888889,1,1
SJ,2017,1500,0.0625,-600,0.857143,1,0
STL,2017,1400,0.066667,-550,0.846154,1,0
TB,2017,1300,0.071429,-850,0.894737,0,0
TOR,2017,9000,0.010989,310,0.243902,1,0
VAN,2017,10000,0.009901,250,0.285714,0,0
WPG,2017,6000,0.016393,105,0.487805,0,0
WSH,2017,900,0.1,-1050,0.913043,1,0
