team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2018,1500,0.0625,-850,0.894737,1,0
ARI,2018,15442,0.006434,767,0.115389,0,0
BOS,2018,3300,0.029412,-130,0.565217,1,0
BUF,2018,7000,0.014085,240,0.294118,0,0
CAR,2018,6750,0.014599,100,0.5,0,0
CBJ,2018,2350,0.040816,-195,0.661017,1,0
CGY,2018,3300,0.029412,-205,0.672131,0,0
CHI,2018,1200,0.076923,-400,0.8,0,0
COL,2018,12500,0.007937,800,0.111111,1,0
DAL,2018,1650,0.057143,-350,0.777778,0,0
DET,2018,10000,0.009901,465,0.176991,0,0
EDM,2018,1000,0.090909,-550,0.846154,0,0
FLA,2018,4000,0.02439,230,0.30303,0,0
LA,2018,2200,0.043478,110,0.47619,1,0
MIN,2018,2150,0.044444,-295,0.746835,1,0
MTL,2018,1650,0.057143,-265,0.726027,0,0
NJ,2018,12500,0.007937,650,0.133333,1,0
NSH,2018,1550,0.060606,-325,0.764706,1,0
NYI,2018,4500,0.021739,170,0.37037,0,0
NYR,2018,1550,0.060606,-245,0.710145,0,0
OTT,2018,3500,0.027778,110,0.47619,0,0
PHI,2018,4000,0.02439,125,0.444444,1,0
PIT,2018,850,0.105263,-800,0.888889,1,0
SJ,2018,2200,0.043478,-280,0.736842,1,0
STL,2018,3300,0.029412,-195,0.661017,0,0
TB,2018,1000,0.090909,-465,0.823009,1,0
TOR,2018,2150,0.044444,-205,0.672131,1,0
VAN,2018,10000,0.009901,700,0.125,0,0
VGK,2018,15000,0.006623,875,0.102564,1,0
WPG,2018,6500,0.015152,100,0.5,1,0
WSH,2018,1000,0.090909,-550,0.846154,1,1
