team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2024,20000,0.004975,1000,0.090909,0,0
ARI,2024,12373,0.008018,706,0.124097,0,0
BOS,2024,1100,0.083333,-350,0.777778,1,0
BUF,2024,4000,0.02439,100,0.5,0,0
CAR,2024,1200,0.076923,-600,0.857143,1,0
CBJ,2024,12500,0.007937,600,0.142857,0,0
CGY,2024,2500,0.038462,-155,0.607843,0,0
CHI,2024,12500,0.007937,550,0.153846,0,0
COL,2024,800,0.111111,-1100,0.916667,1,0
DAL,2024,1600,0.058824,-450,0.818182,1,0
DET,2024,5000,0.019608,200,0.333333,0,0
EDM,2024,1000,0.090909,-700,0.875,1,0
FLA,2024,2000,0.047619,-190,0.655172,1,1
LA,2024,2000,0.047619,-350,0.777778,1,0
MIN,2024,3000,0.032258,-275,0.733333,0,0
MTL,2024,15000,0.006623,900,0.1,0,0
NJ,2024,1200,0.076923,-450,0.818182,0,0
NSH,2024,5000,0.019608,125,0.444444,1,0
NYI,2024,5000,0.019608,110,0.47619,1,0
NYR,2024,1400,0.066667,-275,0.733333,1,0
OTT,2024,4000,0.02439,100,0.5,0,0
PHI,2024,15000,0.006623,600,0.142857,0,0
PIT,2024,3500,0.027778,-185,0.649123,0,0
SEA,2024,5000,0.019608,-115,0.534884,0,0
SJ,2024,15000,0.006623,1200,0.076923,0,0
STL,2024,6600,0.014925,160,0.384615,0,0
TB,2024,1400,0.066667,-175,0.636364,1,0
TOR,2024,1000,0.090909,-500,0.833333,1,0
VAN,2024,5000,0.019608,145,0.408163,1,0
VGK,2024,1200,0.076923,-600,0.857143,1,0
WPG,2024,4000,0.02439,-125,0.555556,1,0
WSH,2024,6600,0.014925,200,0.333333,1,0
