team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2022,8000,0.012346,1400,0.066667,0,0
ARI,2022,19266,0.005164,823,0.1084,0,0
BOS,2022,1200,0.076923,-600,0.857143,1,0
BUF,2022,20000,0.004975,1600,0.058824,0,0
CAR,2022,1400,0.066667,-175,0.636364,1,0
CBJ,2022,6600,0.014925,1100,0.083333,0,0
CGY,2022,4000,0.02439,-130,0.565217,1,0
CHI,2022,6600,0.014925,-115,0.534884,0,0
COL,2022,500,0.166667,-3000,0.967742,1,1
DAL,2022,2800,0.034483,-175,0.636364,1,0
DET,2022,20000,0.004975,800,0.111111,0,0
EDM,2022,2800,0.034483,-350,0.777778,1,0
FLA,2022,2500,0.038462,-400,0.8,1,0
LA,2022,5000,0.019608,240,0.294118,1,0
MIN,2022,2200,0.043478,-300,0.75,1,0
MTL,2022,1800,0.052632,165,0.377358,0,0
NJ,2022,6600,0.014925,165,0.377358,0,0
NSH,2022,3500,0.027778,240,0.294118,1,0
NYI,2022,1800,0.052632,-300,0.75,0,0
NYR,2022,2500,0.038462,-185,0.649123,1,0
OTT,2022,10000,0.009901,1200,0.076923,0,0
PHI,2022,3000,0.032258,105,0.487805,0,0
PIT,2022,1800,0.052632,-225,0.692308,1,0
SEA,2022,5000,0.019608,-125,0.555556,0,0
SJ,2022,6600,0.014925,250,0.285714,0,0
STL,2022,3000,0.032258,-135,0.574468,1,0
TB,2022,750,0.117647,-1600,0.941176,1,0
TOR,2022,1400,0.066667,-1600,0.941176,1,0
VAN,2022,5000,0.019608,145,0.408163,0,0
VGK,2022,650,0.133333,-1600,0.941176,0,0
WPG,2022,3500,0.027778,-135,0.574468,0,0
WSH,2022,2500,0.038462,-135,0.574468,1,0
