team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2015,1400,0.066667,-700,0.875,1,0
ARI,2015,15442,0.006434,767,0.115389,0,0
BOS,2015,800,0.111111,-1000,0.909091,0,0
BUF,2015,10000,0.009901,400,0.2,0,0
CAR,2015,6500,0.015152,140,0.416667,0,0
CBJ,2015,4000,0.02439,-150,0.6,0,0
CGY,2015,6500,0.015152,300,0.25,1,0
CHI,2015,700,0.125,-1250,0.925926,1,1
COL,2015,1800,0.052632,-160,0.615385,0,0
DAL,2015,3300,0.029412,-140,0.583333,0,0
DET,2015,2200,0.043478,-160,0.615385,1,0
EDM,2015,5000,0.019608,220,0.3125,0,0
FLA,2015,7500,0.013158,250,0.285714,0,0
LA,2015,900,0.1,-800,0.888889,0,0
MIN,2015,2000,0.047619,-215,0.68254,1,0
MTL,2015,2000,0.047619,-300,0.75,1,0
NJ,2015,4000,0.02439,100,0.5,0,0
NSH,2015,6500,0.015152,260,0.277778,1,0
NYI,2015,6500,0.015152,-120,0.545455,1,0
NYR,2015,1500,0.0625,-260,0.722222,1,0
OTT,2015,5000,0.019608,180,0.357143,1,0
PHI,2015,2800,0.034483,-110,0.52381,0,0
PIT,2015,1000,0.090909,-800,0.888889,1,0
SJ,2015,1400,0.066667,-280,0.736842,0,0
STL,2015,1200,0.076923,-800,0.888889,1,0
TB,2015,2500,0.038462,-260,0.722222,1,0
TOR,2015,3300,0.029412,100,0.5,0,0
VAN,2015,2500,0.038462,145,0.408163,1,0
WPG,2015,5000,0.019608,250,0.285714,1,0
WSH,2015,3300,0.029412,-110,0.52381,1,0
