team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2016,800,0.111111,-800,0.888889,1,0
ARI,2016,8867,0.011152,608,0.141337,0,0
BOS,2016,1600,0.058824,-165,0.622642,0,0
BUF,2016,15000,0.006623,250,0.285714,0,0
CAR,2016,10000,0.009901,300,0.25,0,0
CBJ,2016,3000,0.032258,-165,0.622642,0,0
CGY,2016,3000,0.032258,125,0.444444,0,0
CHI,2016,650,0.133333,-1000,0.909091,1,0
COL,2016,5500,0.017857,240,0.294118,0,0
DAL,2016,6000,0.016393,-150,0.6,1,0
DET,2016,3000,0.032258,-140,0.583333,1,0
EDM,2016,7500,0.013158,115,0.465116,0,0
FLA,2016,6500,0.015152,185,0.350877,1,0
LA,2016,1400,0.066667,-750,0.882353,1,0
MIN,2016,1200,0.076923,-275,0.733333,1,0
MTL,2016,1400,0.066667,-280,0.736842,0,0
NJ,2016,8500,0.011628,275,0.266667,0,0
NSH,2016,1600,0.058824,-250,0.714286,1,0
NYI,2016,1900,0.05,-175,0.636364,1,0
NYR,2016,900,0.1,-800,0.888889,1,0
OTT,2016,4150,0.023529,120,0.454545,0,0
PHI,2016,7500,0.013158,250,0.285714,1,0
PIT,2016,1450,0.064516,-800,0.888889,1,1
SJ,2016,4250,0.022989,-115,0.534884,1,0
STL,2016,1200,0.076923,-300,0.75,1,0
TB,2016,1000,0.090909,-850,0.894737,1,0
TOR,2016,7500,0.013158,250,0.285714,0,0
VAN,2016,3500,0.027778,150,0.4,0,0
WPG,2016,3000,0.032258,-105,0.512195,0,0
WSH,2016,1800,0.052632,-280,0.736842,1,0
