team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2021,10000,0.009901,250,0.285714,0,0
ARI,2021,7096,0.013897,539,0.156431,0,0
BOS,2021,1100,0.083333,-400,0.8,1,0
BUF,2021,5000,0.019608,325,0.235294,0,0
CAR,2021,2200,0.043478,-500,0.833333,1,0
CBJ,2021,3500,0.027778,-110,0.52381,0,0
CGY,2021,3500,0.027778,-130,0.565217,0,0
CHI,2021,4000,0.02439,550,0.153846,0,0
COL,2021,800,0.111111,-900,0.9,1,0
DAL,2021,2200,0.043478,-200,0.666667,0,0
DET,2021,10000,0.009901,1000,0.090909,0,0
EDM,2021,2200,0.043478,-250,0.714286,1,0
FLA,2021,4000,0.02439,140,0.416667,1,0
LA,2021,5000,0.019608,400,0.2,0,0
MIN,2021,5000,0.019608,105,0.487805,1,0
MTL,2021,5000,0.019608,-200,0.666667,1,0
NJ,2021,5000,0.019608,350,0.222222,0,0
NSH,2021,3000,0.032258,-135,0.574468,1,0
NYI,2021,2200,0.043478,100,0.5,1,0
NYR,2021,3000,0.032258,140,0.416667,0,0
OTT,2021,6500,0.015152,900,0.1,0,0
PHI,2021,1400,0.066667,-250,0.714286,0,0
PIT,2021,1800,0.052632,-200,0.666667,1,0
SJ,2021,5000,0.019608,225,0.307692,0,0
STL,2021,1800,0.052632,-300,0.75,1,0
TB,2021,900,0.1,-1000,0.909091,1,1
TOR,2021,2200,0.043478,-900,0.9,1,0
VAN,2021,3500,0.027778,-130,0.565217,0,0
VGK,2021,1000,0.090909,-700,0.875,1,0
WPG,2021,4000,0.02439,110,0.47619,1,0
WSH,2021,1800,0.052632,-175,0.636364,1,0
