team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2013,790,0.112353,-231,0.697939,1,0
ARI,2013,4534,0.021577,403,0.198675,0,0
BOS,2013,1009,0.090165,-136,0.575908,1,0
BUF,2013,6346,0.015512,505,0.165318,0,0
CAR,2013,9909,0.009991,641,0.134948,0,0
CBJ,2013,3232,0.030013,308,0.245073,0,0
CGY,2013,11073,0.00895,674,0.129224,0,0
CHI,2013,614,0.14,-567,0.85,1,1
COL,2013,15442,0.006434,767,0.115389,0,0
DAL,2013,7096,0.013897,539,0.156431,0,0
DET,2013,2295,0.041748,223,0.309612,1,0
EDM,2013,8867,0.011152,608,0.141337,0,0
FLA,2013,17249,0.005764,795,0.111702,0,0
LA,2013,1282,0.072359,109,0.477976,1,0
MIN,2013,3619,0.026887,339,0.227878,1,0
MTL,2013,894,0.100649,-173,0.633571,1,0
NJ,2013,7933,0.012449,574,0.14847,0,0
NSH,2013,12373,0.008018,706,0.124097,0,0
NYI,2013,4052,0.024086,371,0.212475,1,0
NYR,2013,2574,0.037399,250,0.285694,1,0
OTT,2013,2885,0.033503,278,0.264268,1,0
PHI,2013,5675,0.017316,471,0.175239,0,0
PIT,2013,697,0.125417,-334,0.769792,1,0
SJ,2013,1622,0.05807,150,0.399383,1,0
STL,2013,1138,0.080773,-110,0.524251,1,0
TB,2013,13823,0.007182,737,0.119504,0,0
TOR,2013,1822,0.052021,173,0.366114,1,0
VAN,2013,1443,0.064822,129,0.43652,1,0
WPG,2013,5073,0.01933,437,0.186313,0,0
WSH,2013,2046,0.046602,197,0.336311,1,0
