team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2020,8000,0.012346,210,0.322581,0,0
ARI,2020,7096,0.013897,539,0.156431,1,0
BOS,2020,1100,0.083333,-460,0.821429,1,0
BUF,2020,6600,0.014925,270,0.27027,0,0
CAR,2020,3000,0.032258,-185,0.649123,1,0
CBJ,2020,3500,0.027778,230,0.30303,1,0
CGY,2020,2000,0.047619,-260,0.722222,1,0
CHI,2020,4000,0.02439,160,0.384615,1,0
COL,2020,1250,0.074074,-260,0.722222,1,0
DAL,2020,3000,0.032258,-280,0.736842,1,0
DET,2020,8000,0.012346,450,0.181818,0,0
EDM,2020,5000,0.019608,185,0.350877,1,0
FLA,2020,2500,0.038462,-210,0.677419,1,0
LA,2020,8000,0.012346,305,0.246914,0,0
MIN,2020,5000,0.019608,170,0.37037,1,0
MTL,2020,5000,0.019608,130,0.434783,1,0
NJ,2020,8000,0.012346,-125,0.555556,0,0
NSH,2020,2500,0.038462,-335,0.770115,1,0
NYI,2020,3000,0.032258,-115,0.534884,1,0
NYR,2020,8000,0.012346,160,0.384615,1,0
OTT,2020,30000,0.003322,1200,0.076923,0,0
PHI,2020,3300,0.029412,100,0.5,1,0
PIT,2020,2000,0.047619,-200,0.666667,1,0
SJ,2020,1600,0.058824,-260,0.722222,0,0
STL,2020,1400,0.066667,-270,0.72973,1,0
TB,2020,700,0.125,-650,0.866667,1,1
TOR,2020,1050,0.086957,-750,0.882353,1,0
VAN,2020,4000,0.02439,150,0.4,1,0
VGK,2020,900,0.1,-650,0.866667,1,0
WPG,2020,1800,0.052632,-175,0.636364,1,0
WSH,2020,2000,0.047619,-300,0.75,1,0
