team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
WSH,2017,7,2,1,30,20,W,4
PIT,2017,6,3,1,32,26,W,2
CHI,2017,6,3,1,28,24,W,2
CBJ,2017,6,3,1,26,20,W,3
MIN,2017,6,3,1,30,24,W,2
ANA,2017,5,4,1,24,22,W,1
MTL,2017,5,4,1,26,24,W,1
EDM,2017,6,3,1,28,24,W,2
SJS,2017,5,4,1,26,26,L,1
OTT,2017,5,4,1,24,24,W,1
NYR,2017,5,4,1,30,28,W,1
BOS,2017,5,4,1,26,26,L,2
STL,2017,5,4,1,28,28,W,1
TOR,2017,4,5,1,30,32,L,1
CGY,2017,5,4,1,26,26,W,2
NSH,2017,5,4,1,28,28,W,1
TBL,2017,5,4,1,28,28,L,1
NYI,2017,4,5,1,30,32,L,2
FLA,2017,4,5,1,26,30,L,2
LAK,2017,5,4,1,22,22,W,1
PHI,2017,4,5,1,26,30,L,1
CAR,2017,4,5,1,26,28,L,2
DAL,2017,3,6,1,28,34,L,3
BUF,2017,3,6,1,24,32,L,2
WPG,2017,4,5,1,32,34,L,1
DET,2017,3,6,1,24,32,L,3
VAN,2017,2,7,1,20,34,L,5
ARI,2017,3,6,1,22,32,L,2
NJD,2017,3,6,1,22,32,L,3
COL,2017,1,8,1,18,40,L,7
