team,season,cf_pct,xgf_pct,hdcf_pct,gsax,pp_pct,pk_pct,pdo,home_games,home_win_pct,away_games,away_win_pct
ANA,2012,51.1,49.7,49.03,-9.28,18.86,79.27,101.17,41,50.61,41,48.4
ARI,2012,46.92,50.22,44.7,-3.43,15.31,80.52,100.3,41,60.24,41,34.66
BOS,2012,49.38,53.2,53.19,-1.99,16.35,85.68,102.52,41,60.34,41,46.75
BUF,2012,44.56,50.82,46.46,5.56,16.41,76.79,99.79,41,42.99,41,30.68
CGY,2012,46.76,45.33,52.11,9.69,14.05,78.12,102.18,41,39.5,41,46.2
CAR,2012,49.81,50.89,44.22,10.61,16.33,87.1,99.1,41,35.92,41,44.57
CHI,2012,52.86,48.05,49.11,-17.28,19.83,86.64,101.65,41,42.75,41,52.06
COL,2012,45.8,44.66,53.24,-15.07,15.51,85.83,102.98,41,44.94,41,46.1
CBJ,2012,49.55,45.61,49.73,6.42,14.79,81.58,101.38,41,54.5,41,36.98
DAL,2012,49.7,53.94,48.56,-5.04,20.21,81.09,102.92,41,54.51,41,37.59
DET,2012,48.36,48.77,52.15,-8.99,23.16,77.76,98.36,41,46.53,41,41.45
EDM,2012,44.69,47.05,51.89,-13.49,15.23,79.09,102.36,41,36.97,41,36.35
FLA,2012,46.66,51.53,44.78,-17.53,19.17,84.84,102.09,41,35.34,41,52.69
LAK,2012,52.81,53.18,55.25,20.15,22.26,86.76,98.32,41,60.64,41,56.05
MIN,2012,49.44,53.82,52.01,-1.38,14.52,77.67,101.48,41,63.02,41,40.51
MTL,2012,49.7,45.81,48.07,-6.31,21.53,78.27,101.16,41,61.25,41,31.78
NSH,2012,47.49,46.98,47.94,12.93,18.32,80.82,99.15,41,51.13,41,50.81
NJD,2012,52.47,53.85,53.34,18.61,16.4,84.21,99.58,41,65.72,41,57.37
NYI,2012,52.16,48.63,50.49,-10.51,18.96,83.49,100.54,41,51.02,41,32.56
NYR,2012,52.81,44.31,46.8,14.59,15.97,83.94,98.92,41,46.54,41,52.1
OTT,2012,47.17,47.64,45.1,-12.35,17.9,85.75,99.25,41,58.81,41,42.83
PHI,2012,50.39,48.04,44.5,2.46,19.34,77.19,99.29,41,44.55,41,46.66
PIT,2012,46.96,44.5,44.36,-7.79,18.06,77.14,97.73,41,43.07,41,38.09
SJS,2012,53.22,47.82,53.99,8.91,14.97,85.7,102.84,41,40.33,41,34.49
STL,2012,53.91,48.6,46.63,-7.9,22.25,78.82,99.03,41,47.02,41,52.51
TBL,2012,52.1,44.97,47.26,5.8,20.78,77.26,97.09,41,64.3,41,36.06
TOR,2012,53.93,47.55,48.57,-0.77,17.16,79.35,102.82,41,56.16,41,51.38
VAN,2012,51.08,50.31,48.99,11.46,23.75,76.43,97.72,41,38.8,41,53.14
WSH,2012,46.69,52.93,45.36,5.43,17.16,78.93,97.0,41,55.8,41,35.77
WPG,2012,45.53,45.33,45.13,10.55,16.09,84.37,101.63,41,59.51,41,30.34
