team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
TBL,2019,8,1,1,38,22,W,4
CGY,2019,6,3,1,30,26,W,2
BOS,2019,7,2,1,28,22,W,3
WSH,2019,6,3,1,32,28,W,1
NYI,2019,7,2,1,24,18,W,4
SJS,2019,5,4,1,30,28,L,1
TOR,2019,6,3,1,32,28,W,2
NSH,2019,6,3,1,26,23,W,1
WPG,2019,5,4,1,28,26,L,2
STL,2019,8,1,1,28,18,W,6
CAR,2019,6,3,1,27,24,W,2
PIT,2019,5,4,1,30,28,L,1
COL,2019,4,5,1,28,30,L,2
DAL,2019,6,3,1,22,20,W,3
CBJ,2019,6,4,0,28,25,W,1
VGK,2019,5,4,1,27,26,L,1
MIN,2019,4,5,1,22,28,L,3
ARI,2019,5,4,1,22,24,W,1
FLA,2019,4,5,1,30,32,L,2
PHI,2019,3,6,1,25,32,L,3
VAN,2019,4,5,1,24,28,L,1
EDM,2019,3,6,1,26,34,L,4
BUF,2019,3,6,1,24,32,L,3
MTL,2019,5,4,1,28,26,W,2
DET,2019,3,6,1,24,34,L,2
ANA,2019,3,6,1,20,30,L,4
CHI,2019,4,5,1,32,36,L,1
NYR,2019,3,6,1,26,34,L,3
NJD,2019,3,6,1,24,32,L,2
OTT,2019,2,7,1,26,38,L,5
LAK,2019,3,6,1,22,32,L,3
