team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2014,2000,0.0476,-300,0.75,True,False
ARI,2014,5000,0.0196,200,0.3333,False,False
BOS,2014,2000,0.0476,150,0.4,True,False
BUF,2014,8000,0.0123,150,0.4,False,False
CGY,2014,6000,0.0164,150,0.4,False,False
CAR,2014,6000,0.0164,200,0.3333,False,False
CHI,2014,4000,0.0244,-120,0.5455,True,False
COL,2014,2000,0.0476,-200,0.6667,True,False
CBJ,2014,2500,0.0385,-300,0.75,True,False
DAL,2014,3000,0.0323,-120,0.5455,True,False
DET,2014,4000,0.0244,-120,0.5455,True,False
EDM,2014,15000,0.0066,150,0.4,False,False
FLA,2014,10000,0.0099,400,0.2,False,False
LAK,2014,1200,0.0769,-300,0.75,True,True
MIN,2014,2000,0.0476,100,0.5,True,False
MTL,2014,2500,0.0385,-300,0.75,True,False
NSH,2014,5000,0.0196,150,0.4,False,False
NJD,2014,6000,0.0164,200,0.3333,False,False
NYI,2014,8000,0.0123,300,0.25,False,False
NYR,2014,1500,0.0625,150,0.4,True,False
OTT,2014,6000,0.0164,300,0.25,False,False
PHI,2014,4000,0.0244,-300,0.75,True,False
PIT,2014,1500,0.0625,100,0.5,True,False
SJS,2014,4000,0.0244,150,0.4,True,False
STL,2014,2500,0.0385,-200,0.6667,True,False
TBL,2014,4000,0.0244,150,0.4,True,False
TOR,2014,8000,0.0123,500,0.1667,False,False
VAN,2014,5000,0.0196,400,0.2,False,False
WSH,2014,8000,0.0123,300,0.25,False,False
WPG,2014,5000,0.0196,400,0.2,False,False
