team,season,last_10_wins,last_20_wins,current_streak
ANA,2014,6,11,3
ARI,2014,3,11,2
BOS,2014,6,13,2
BUF,2014,2,7,-2
CGY,2014,2,7,-2
CAR,2014,3,6,-4
CHI,2014,7,14,1
COL,2014,6,13,4
CBJ,2014,7,12,5
DAL,2014,5,11,5
DET,2014,5,14,5
EDM,2014,5,9,1
FLA,2014,4,5,-4
LAK,2014,9,17,3
MIN,2014,6,11,3
MTL,2014,7,11,2
NSH,2014,5,11,3
NJD,2014,2,6,1
NYI,2014,4,9,1
NYR,2014,8,14,4
OTT,2014,6,8,-4
PHI,2014,8,10,4
PIT,2014,6,13,2
SJS,2014,6,12,4
STL,2014,7,13,3
TBL,2014,8,14,4
TOR,2014,2,5,0
VAN,2014,5,6,0
WSH,2014,2,8,1
WPG,2014,6,10,0
