team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
TB,2020,all,52.5,52.2,228.4,185.2,55.2,52.8,10.2,0.920,102.2,12.8,24.2,82.5
BOS,2020,all,55.8,55.4,218.4,162.5,57.3,56.2,9.9,0.928,102.7,18.5,25.2,85.8
COL,2020,all,54.2,53.8,225.4,182.5,55.3,54.5,10.0,0.920,102.0,12.2,23.8,82.2
STL,2020,all,51.5,51.2,215.4,188.5,53.3,51.8,9.9,0.918,101.7,8.5,21.5,83.5
DAL,2020,all,50.8,50.4,168.5,172.4,49.4,51.2,10.2,0.918,102.0,6.8,19.8,83.8
VGK,2020,all,52.8,52.4,218.4,195.2,52.8,53.2,9.9,0.916,101.5,5.5,24.5,80.2
WSH,2020,all,51.2,50.8,228.5,208.4,52.3,51.5,10.0,0.914,101.4,4.2,23.8,79.8
PHI,2020,all,53.5,53.2,222.4,188.5,54.1,53.8,9.9,0.920,101.9,11.5,21.2,83.2
CAR,2020,all,54.8,54.4,208.4,185.2,52.9,55.1,9.8,0.918,101.6,8.8,20.5,82.8
EDM,2020,all,49.5,49.2,218.4,212.5,50.7,49.8,9.8,0.910,100.8,0.5,27.2,78.5
TOR,2020,all,50.2,49.8,228.5,222.4,50.7,50.5,9.9,0.910,100.9,1.2,24.8,78.2
PIT,2020,all,52.4,52.1,215.2,188.5,53.3,52.8,9.9,0.918,101.7,8.2,23.5,81.8
NYI,2020,all,48.5,48.2,182.4,178.5,50.5,48.8,10.0,0.920,102.0,10.5,18.2,84.5
FLA,2020,all,50.5,50.2,222.4,222.5,50.0,50.8,9.9,0.910,100.9,-0.8,22.8,78.5
NSH,2020,all,49.2,48.8,208.4,212.5,49.5,49.5,9.8,0.910,100.8,0.2,19.5,80.2
CGY,2020,all,50.8,50.4,202.4,208.5,49.3,51.2,9.9,0.912,101.0,2.5,19.8,80.8
WPG,2020,all,49.5,49.2,208.4,205.2,50.4,49.8,9.9,0.912,101.0,2.8,22.5,79.8
VAN,2020,all,50.2,49.8,218.4,212.5,50.7,50.5,9.9,0.912,101.0,3.2,21.2,80.5
MIN,2020,all,50.8,50.4,212.4,215.2,49.7,51.2,9.9,0.910,100.8,1.5,18.8,81.2
ARI,2020,all,49.2,48.8,188.4,202.5,48.2,49.5,9.8,0.912,100.9,2.2,17.5,81.5
CHI,2020,all,48.5,48.2,205.4,212.5,49.2,48.8,9.8,0.908,100.6,-0.5,20.2,79.5
NYR,2020,all,51.2,50.8,225.4,218.5,50.8,51.5,9.9,0.910,100.9,1.8,22.5,78.8
MTL,2020,all,48.2,47.8,205.4,218.5,48.4,48.5,9.8,0.908,100.5,-1.8,19.2,79.2
CBJ,2020,all,50.5,50.2,172.4,178.5,49.1,50.8,9.9,0.918,101.7,6.5,16.8,84.2
BUF,2020,all,47.8,47.4,188.4,212.5,47.0,48.2,9.8,0.905,100.3,-4.5,18.5,78.5
NJ,2020,all,46.5,46.2,182.4,225.4,44.7,46.8,9.8,0.898,99.6,-8.8,18.2,76.8
ANA,2020,all,47.2,46.8,178.5,218.4,45.0,47.5,9.9,0.900,99.8,-6.5,17.5,77.8
SJ,2020,all,47.5,47.2,175.4,222.5,44.1,47.8,9.8,0.898,99.5,-8.2,17.8,77.2
LA,2020,all,48.8,48.4,168.5,205.4,45.1,49.2,10.0,0.905,100.4,-3.8,17.2,79.5
OTT,2020,all,46.2,45.8,182.4,238.5,43.3,46.5,9.9,0.892,99.0,-14.2,18.5,75.5
DET,2020,all,42.5,42.2,138.4,262.5,34.5,42.8,9.9,0.872,96.8,-32.5,14.5,71.2
SEA,2020,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0
