team,season,last_10_wins,last_20_wins,current_streak
ANA,2012,3,9,2
ARI,2012,5,10,1
BOS,2012,8,14,2
BUF,2012,3,11,-4
CGY,2012,2,5,-4
CAR,2012,4,5,1
CHI,2012,8,10,2
COL,2012,4,5,3
CBJ,2012,6,9,-3
DAL,2012,3,10,-2
DET,2012,8,12,3
EDM,2012,6,8,-3
FLA,2012,5,14,2
LAK,2012,8,14,6
MIN,2012,4,9,1
MTL,2012,3,5,-2
NSH,2012,6,11,5
NJD,2012,8,11,3
NYI,2012,3,6,3
NYR,2012,8,12,2
OTT,2012,6,10,3
PHI,2012,7,14,5
PIT,2012,6,11,5
SJS,2012,6,12,3
STL,2012,7,10,3
TBL,2012,5,10,3
TOR,2012,6,5,-2
VAN,2012,6,11,1
WSH,2012,8,12,1
WPG,2012,5,10,-4
