team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2010,10000,0.0099,150,0.4,False,False
ARI,2010,2000,0.0476,150,0.4,True,False
BOS,2010,2000,0.0476,-200,0.6667,True,False
BUF,2010,4000,0.0244,-150,0.6,True,False
CGY,2010,15000,0.0066,400,0.2,False,False
CAR,2010,8000,0.0123,400,0.2,False,False
CHI,2010,800,0.1111,100,0.5,True,True
COL,2010,2500,0.0385,-120,0.5455,True,False
CBJ,2010,15000,0.0066,500,0.1667,False,False
DAL,2010,10000,0.0099,200,0.3333,False,False
DET,2010,2000,0.0476,100,0.5,True,False
EDM,2010,15000,0.0066,150,0.4,False,False
FLA,2010,15000,0.0066,300,0.25,False,False
LAK,2010,2500,0.0385,-120,0.5455,True,False
MIN,2010,5000,0.0196,400,0.2,False,False
MTL,2010,4000,0.0244,-300,0.75,True,False
NSH,2010,5000,0.0196,200,0.3333,False,False
NJD,2010,3000,0.0323,150,0.4,True,False
NYI,2010,10000,0.0099,500,0.1667,False,False
NYR,2010,3000,0.0323,-150,0.6,True,False
OTT,2010,2500,0.0385,100,0.5,True,False
PHI,2010,800,0.1111,-200,0.6667,True,False
PIT,2010,4000,0.0244,-120,0.5455,True,False
SJS,2010,1500,0.0625,150,0.4,True,False
STL,2010,15000,0.0066,500,0.1667,False,False
TBL,2010,15000,0.0066,500,0.1667,False,False
TOR,2010,8000,0.0123,150,0.4,False,False
VAN,2010,2500,0.0385,100,0.5,True,False
WSH,2010,2500,0.0385,100,0.5,True,False
WPG,2010,6000,0.0164,500,0.1667,False,False
