team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
FLA,2024,all,52.8,52.4,234.5,198.2,54.2,53.8,10.8,0.921,102.9,15.2,23.8,82.4
DAL,2024,all,54.1,53.8,265.3,221.4,54.5,54.2,10.5,0.918,102.3,10.5,24.5,80.8
VGK,2024,all,51.2,50.8,241.2,232.5,50.9,51.4,10.2,0.912,101.4,3.2,21.8,79.2
COL,2024,all,53.4,53.1,258.7,218.3,54.2,53.9,10.6,0.916,102.2,8.4,25.2,81.5
EDM,2024,all,52.1,51.8,254.1,224.6,53.1,52.5,10.4,0.914,101.8,5.8,28.4,78.6
VAN,2024,all,50.8,50.4,238.4,221.7,51.8,51.2,10.5,0.918,102.3,12.4,22.4,82.8
WPG,2024,all,51.5,51.2,232.8,208.5,52.8,52.1,10.3,0.924,102.7,18.5,20.5,84.2
BOS,2024,all,53.2,52.8,245.6,205.4,54.5,53.6,9.8,0.922,101.9,14.8,21.2,83.5
NYR,2024,all,52.4,52.1,248.3,198.6,55.6,53.2,10.1,0.925,102.6,22.4,24.8,84.6
CAR,2024,all,55.8,55.2,262.4,208.3,55.7,55.4,9.6,0.920,101.6,12.2,22.8,82.8
TOR,2024,all,50.2,49.8,254.8,242.1,51.3,50.8,10.4,0.908,101.2,-4.2,23.5,78.4
TB,2024,all,49.8,49.4,248.2,245.8,50.2,50.1,9.9,0.909,100.8,-3.8,21.8,80.2
LA,2024,all,50.5,50.1,242.1,238.4,50.4,50.2,10.1,0.911,101.2,1.5,20.4,79.5
NSH,2024,all,49.2,48.8,235.4,241.2,49.4,49.5,10.4,0.912,101.6,2.8,19.8,80.5
DET,2024,all,47.8,47.4,228.5,252.1,47.6,48.2,10.2,0.904,100.6,-8.5,18.5,78.2
PHI,2024,all,48.5,48.2,225.4,248.8,47.5,48.4,10.1,0.905,100.6,-6.2,19.2,77.8
STL,2024,all,49.2,48.8,231.2,238.5,49.2,49.4,9.9,0.909,100.8,-1.8,20.5,79.5
PIT,2024,all,48.8,48.5,228.8,245.2,48.3,48.8,10.0,0.906,100.6,-5.4,22.4,78.2
NYI,2024,all,46.2,45.8,218.4,232.5,48.4,46.8,9.8,0.912,100.9,2.2,18.2,81.4
OTT,2024,all,47.5,47.2,238.5,275.2,46.4,47.8,10.2,0.892,99.4,-18.5,21.5,75.8
BUF,2024,all,48.2,47.8,232.4,248.6,48.3,48.4,10.1,0.905,100.6,-6.8,19.8,78.5
CGY,2024,all,48.8,48.4,224.5,245.2,47.8,48.6,9.9,0.904,100.3,-7.2,18.8,78.8
MTL,2024,all,47.2,46.8,218.5,258.4,45.8,47.4,10.1,0.898,99.9,-12.4,17.5,76.2
MIN,2024,all,49.5,49.2,214.8,225.4,48.8,49.2,9.8,0.912,100.9,3.5,17.8,82.5
SEA,2024,all,48.2,47.8,212.4,242.5,46.7,48.1,9.8,0.904,100.2,-6.5,18.2,78.4
NJ,2024,all,50.2,49.8,238.4,248.2,49.0,50.1,9.9,0.902,100.1,-8.8,21.2,77.5
ANA,2024,all,44.5,44.1,185.2,268.4,40.8,45.2,10.0,0.892,99.2,-18.2,16.5,74.8
CBJ,2024,all,45.8,45.4,198.4,275.8,41.8,46.1,9.9,0.888,98.7,-21.5,17.2,73.5
CHI,2024,all,43.2,42.8,168.5,284.2,37.2,44.1,9.8,0.882,98.0,-28.4,14.8,72.2
SJ,2024,all,42.1,41.8,165.2,298.5,35.6,42.8,10.2,0.878,97.9,-32.5,15.2,71.5
WSH,2024,all,49.5,49.2,234.2,238.8,49.5,49.6,10.1,0.910,101.1,0.5,19.5,79.8
UTA,2024,all,48.8,48.4,228.5,245.8,48.2,48.9,10.0,0.906,100.6,-4.2,18.8,78.2
