team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
BOS,2023,22,4,7,1,4,0,15,3,12
CAR,2023,18,8,5,2,2,5,12,5,8
NJD,2023,17,9,5,3,4,3,11,6,7
TOR,2023,16,10,4,3,4,4,10,6,7
NYR,2023,17,9,4,3,5,3,11,5,8
TBL,2023,15,11,4,4,2,4,9,7,6
FLA,2023,14,10,3,3,5,4,10,6,7
NYI,2023,13,12,3,4,4,4,8,8,5
PIT,2023,12,13,3,5,3,4,7,9,4
WSH,2023,11,14,2,5,3,5,6,10,3
BUF,2023,14,11,4,4,2,5,9,7,6
DET,2023,12,13,3,5,2,5,7,9,4
OTT,2023,13,12,4,4,2,5,8,8,5
PHI,2023,10,15,2,5,2,6,5,11,2
MTL,2023,11,14,3,5,2,5,6,10,3
CBJ,2023,9,16,2,5,2,6,4,12,2
VGK,2023,19,6,6,2,4,2,13,4,10
EDM,2023,18,8,5,2,4,3,12,5,9
COL,2023,16,10,4,3,4,4,10,6,7
DAL,2023,17,9,5,3,2,4,11,5,8
MIN,2023,15,11,4,4,2,4,9,7,6
WPG,2023,14,11,3,4,4,4,8,7,5
SEA,2023,15,10,4,3,3,4,10,6,7
LAK,2023,16,10,4,3,3,4,10,6,7
NSH,2023,13,12,3,4,4,5,8,8,5
STL,2023,12,13,3,4,3,5,7,9,4
VAN,2023,11,14,2,5,3,5,6,10,3
CGY,2023,12,13,3,5,2,5,7,9,4
ARI,2023,13,12,4,4,2,5,8,8,5
ANA,2023,10,15,2,5,2,6,5,11,2
CHI,2023,9,16,2,6,1,5,4,12,2
SJ,2023,8,17,1,5,2,6,3,13,1
