team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
BOS,2020,8,2,0,35,21,W,4
TB,2020,7,2,1,33,24,W,3
COL,2020,7,3,0,34,26,W,2
STL,2020,6,3,1,30,25,W,1
WSH,2020,6,4,0,31,28,W,2
PHI,2020,6,4,0,29,26,W,1
PIT,2020,5,4,1,28,27,L,1
EDM,2020,6,4,0,33,30,W,2
DAL,2020,5,4,1,27,26,W,1
CAR,2020,6,4,0,30,27,W,3
TOR,2020,5,4,1,29,28,L,1
VGK,2020,6,4,0,31,27,W,2
NYI,2020,5,4,1,26,25,W,1
FLA,2020,5,4,1,28,27,L,2
CBJ,2020,5,4,1,25,26,W,1
VAN,2020,5,4,1,28,28,W,2
CGY,2020,5,4,1,27,28,L,1
WPG,2020,5,4,1,29,30,L,2
ARI,2020,5,4,1,25,27,W,1
MIN,2020,5,4,1,27,28,L,1
NSH,2020,4,5,1,26,29,L,2
CHI,2020,4,5,1,27,30,L,1
NYR,2020,5,4,1,28,29,W,1
MTL,2020,4,5,1,26,30,L,3
BUF,2020,4,5,1,25,29,L,2
ANA,2020,4,5,1,24,28,L,1
NJ,2020,3,6,1,23,31,L,4
SJ,2020,3,6,1,22,32,L,3
LA,2020,3,6,1,22,30,L,2
OTT,2020,3,6,1,21,31,L,2
DET,2020,2,7,1,18,35,L,6
