team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
MTL,2015,82,50,22,10,110,221,189,27,9,5,23,13,5,1,0
TBL,2015,82,50,24,8,108,262,211,27,11,3,23,13,5,1,0
NYR,2015,82,53,22,7,113,252,192,28,10,3,25,12,4,1,0
STL,2015,82,51,24,7,109,248,201,28,9,4,23,15,3,1,0
NSH,2015,82,47,25,10,104,232,208,26,11,4,21,14,6,1,0
CHI,2015,82,48,28,6,102,229,189,26,12,3,22,16,3,1,1
ANA,2015,82,51,24,7,109,236,199,27,10,4,24,14,3,1,0
VAN,2015,82,48,29,5,101,242,222,27,12,2,21,17,3,1,0
WPG,2015,82,43,26,13,99,230,216,26,11,4,17,15,9,1,0
MIN,2015,82,46,28,8,100,231,201,25,11,5,21,17,3,1,0
CGY,2015,82,45,30,7,97,241,216,25,13,3,20,17,4,1,0
WSH,2015,82,45,26,11,101,242,203,24,11,6,21,15,5,1,0
NYI,2015,82,47,28,7,101,232,216,25,13,3,22,15,4,1,0
DET,2015,82,43,25,14,100,235,221,24,11,6,19,14,8,1,0
OTT,2015,82,43,26,13,99,238,215,24,11,6,19,15,7,1,0
PIT,2015,82,43,27,12,98,221,210,24,12,5,19,15,7,1,0
BOS,2015,82,41,27,14,96,213,211,25,11,5,16,16,9,0,0
FLA,2015,82,38,29,15,91,206,223,21,14,6,17,15,9,0,0
LAK,2015,82,40,27,15,95,220,205,23,12,6,17,15,9,0,0
SJS,2015,82,40,33,9,89,228,232,22,14,5,18,19,4,0,0
COL,2015,82,39,31,12,90,219,227,21,16,4,18,15,8,0,0
NJD,2015,82,32,36,14,78,181,216,18,17,6,14,19,8,0,0
DAL,2015,82,41,31,10,92,261,260,23,14,4,18,17,6,0,0
PHI,2015,82,33,31,18,84,215,234,19,14,8,14,17,10,0,0
CBJ,2015,82,42,35,5,89,236,250,25,14,2,17,21,3,0,0
CAR,2015,82,30,41,11,71,188,226,18,19,4,12,22,7,0,0
TOR,2015,82,30,44,8,68,211,262,17,21,3,13,23,5,0,0
EDM,2015,82,24,44,14,62,198,283,13,22,6,11,22,8,0,0
ARI,2015,82,24,50,8,56,170,272,14,24,3,10,26,5,0,0
BUF,2015,82,23,51,8,54,161,274,12,26,3,11,25,5,0,0
