team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
WSH,2016,all,54.2,54.5,242,182,57.1,54.8,9.5,0.923,101.8,18.5,24.8,85.2
DAL,2016,all,51.5,51.8,252,222,53.2,51.2,10.2,0.908,101.0,3.2,22.8,78.5
STL,2016,all,52.8,53.2,218,195,52.8,53.5,9.2,0.918,101.0,12.5,19.5,84.8
CHI,2016,all,53.5,53.8,228,202,53.0,54.2,9.3,0.916,100.9,11.2,20.2,83.5
PIT,2016,all,51.2,51.5,238,198,54.6,51.8,9.5,0.917,101.2,12.8,21.5,83.2
LAK,2016,all,53.8,53.5,218,188,53.7,54.5,9.0,0.921,101.1,15.8,17.8,86.5
ANA,2016,all,52.5,52.8,212,188,53.0,53.2,9.1,0.920,101.1,14.5,18.2,85.2
NYR,2016,all,50.2,50.5,228,212,51.8,50.8,9.4,0.913,100.7,6.8,20.5,81.8
SJS,2016,all,52.2,52.5,235,205,53.4,52.8,9.2,0.916,100.8,10.2,19.8,83.5
FLA,2016,all,51.5,51.8,232,198,53.9,51.5,9.4,0.918,101.2,12.2,18.5,84.2
TBL,2016,all,52.8,52.5,222,195,53.2,52.8,9.2,0.918,101.0,12.5,18.8,84.5
NSH,2016,all,51.2,51.5,222,212,51.2,51.8,9.2,0.914,100.6,7.5,19.2,82.5
NYI,2016,all,50.5,50.8,228,212,51.8,50.2,9.3,0.914,100.7,7.2,18.8,82.8
PHI,2016,all,49.8,50.2,208,215,49.2,49.5,9.2,0.912,100.4,5.5,18.5,82.2
DET,2016,all,49.2,49.5,205,218,48.5,49.2,9.0,0.912,100.2,4.8,17.5,82.5
MIN,2016,all,50.8,51.2,212,202,51.2,51.5,9.0,0.915,100.5,8.2,17.8,83.8
COL,2016,all,48.5,48.8,212,232,47.7,48.2,9.2,0.905,99.7,-2.8,18.2,79.2
BOS,2016,all,51.2,51.5,232,225,50.8,51.8,9.3,0.908,100.1,1.5,20.5,80.2
NJD,2016,all,48.8,49.2,178,205,46.5,48.5,8.8,0.915,100.3,7.5,15.5,83.8
OTT,2016,all,48.2,48.5,228,242,48.5,47.8,9.3,0.904,99.7,-3.5,19.5,78.5
CAR,2016,all,49.5,49.8,192,222,46.4,49.2,8.8,0.908,99.6,-0.5,16.2,81.5
MTL,2016,all,49.2,49.5,215,232,48.1,48.8,9.2,0.902,99.4,-4.5,18.8,78.2
ARI,2016,all,48.5,48.8,202,238,45.9,48.2,9.0,0.905,99.5,-2.8,17.2,80.2
CGY,2016,all,47.8,48.2,225,252,47.2,47.5,9.4,0.898,99.2,-7.5,19.2,76.8
WPG,2016,all,48.2,48.5,212,235,47.4,48.8,9.0,0.905,99.5,-3.2,17.5,80.5
VAN,2016,all,47.5,47.8,185,238,43.7,47.2,8.7,0.905,98.2,-3.5,15.8,80.8
BUF,2016,all,47.2,47.5,195,218,47.2,46.8,9.0,0.910,100.0,3.2,16.5,82.2
CBJ,2016,all,48.8,49.2,215,245,46.7,48.5,9.2,0.900,99.2,-5.8,18.2,77.5
EDM,2016,all,46.5,46.8,198,238,45.4,46.2,9.0,0.905,99.5,-3.2,16.8,80.8
TOR,2016,all,46.2,46.5,192,242,44.2,45.8,8.8,0.905,98.3,-3.8,16.2,80.5
