team,season,player,games,goals,assists,points
ANA,2014,ANA Player 1,73,33,53,86
ANA,2014,ANA Player 2,71,15,29,44
ANA,2014,ANA Player 3,80,17,21,38
ARI,2014,ARI Player 1,73,25,42,67
ARI,2014,ARI Player 2,71,20,26,46
ARI,2014,ARI Player 3,73,25,29,54
ARI,2014,ARI Player 4,80,23,44,67
BOS,2014,Zdeno Chara,70,38,36,74
BOS,2014,Patrice Bergeron,79,28,32,60
BOS,2014,David Krejci,76,15,20,35
BOS,2014,BOS Player 4,74,30,44,74
BOS,2014,BOS Player 5,75,32,27,59
BUF,2014,BUF Player 1,80,28,32,60
BUF,2014,BUF Player 2,77,27,44,71
BUF,2014,BUF Player 3,74,16,28,44
BUF,2014,BUF Player 4,70,20,22,42
CGY,2014,CGY Player 1,73,39,50,89
CGY,2014,CGY Player 2,79,27,26,53
CGY,2014,CGY Player 3,78,23,33,56
CGY,2014,CGY Player 4,79,34,20,54
CAR,2014,CAR Player 1,73,41,48,89
CAR,2014,CAR Player 2,74,16,33,49
CAR,2014,CAR Player 3,77,24,40,64
CHI,2014,Patrick Kane,77,29,52,81
CHI,2014,Jonathan Toews,77,29,25,54
CHI,2014,Marian Hossa,79,34,43,77
COL,2014,COL Player 1,74,27,36,63
COL,2014,COL Player 2,72,16,34,50
COL,2014,COL Player 3,74,18,29,47
COL,2014,COL Player 4,76,28,39,67
CBJ,2014,CBJ Player 1,75,42,47,89
CBJ,2014,CBJ Player 2,70,20,39,59
CBJ,2014,CBJ Player 3,77,32,27,59
CBJ,2014,CBJ Player 4,70,34,36,70
DAL,2014,DAL Player 1,77,44,44,88
DAL,2014,DAL Player 2,76,32,29,61
DAL,2014,DAL Player 3,77,27,29,56
DAL,2014,DAL Player 4,72,28,30,58
DET,2014,Pavel Datsyuk,79,41,52,93
DET,2014,Henrik Zetterberg,70,18,43,61
DET,2014,Nicklas Lidstrom,73,25,32,57
DET,2014,DET Player 4,70,17,24,41
EDM,2014,EDM Player 1,74,41,51,92
EDM,2014,EDM Player 2,80,32,21,53
EDM,2014,EDM Player 3,74,31,42,73
FLA,2014,FLA Player 1,74,29,45,74
FLA,2014,FLA Player 2,74,33,38,71
FLA,2014,FLA Player 3,71,32,21,53
LAK,2014,Anze Kopitar,80,43,60,103
LAK,2014,Drew Doughty,77,21,32,53
LAK,2014,Jeff Carter,81,32,24,56
LAK,2014,LAK Player 4,77,23,25,48
MIN,2014,MIN Player 1,73,39,35,74
MIN,2014,MIN Player 2,70,17,39,56
MIN,2014,MIN Player 3,70,15,21,36
MIN,2014,MIN Player 4,75,26,25,51
MTL,2014,MTL Player 1,71,31,49,80
MTL,2014,MTL Player 2,77,16,23,39
MTL,2014,MTL Player 3,71,33,44,77
MTL,2014,MTL Player 4,81,21,28,49
MTL,2014,MTL Player 5,77,23,26,49
NSH,2014,NSH Player 1,71,33,43,76
NSH,2014,NSH Player 2,73,20,28,48
NSH,2014,NSH Player 3,77,29,39,68
NSH,2014,NSH Player 4,70,31,41,72
NJD,2014,NJD Player 1,70,35,50,85
NJD,2014,NJD Player 2,78,21,42,63
NJD,2014,NJD Player 3,80,32,36,68
NYI,2014,NYI Player 1,73,44,36,80
NYI,2014,NYI Player 2,80,26,41,67
NYI,2014,NYI Player 3,74,30,34,64
NYR,2014,NYR Player 1,70,42,46,88
NYR,2014,NYR Player 2,76,33,24,57
NYR,2014,NYR Player 3,74,32,41,73
NYR,2014,NYR Player 4,75,18,38,56
OTT,2014,OTT Player 1,72,28,34,62
OTT,2014,OTT Player 2,72,24,44,68
OTT,2014,OTT Player 3,75,25,39,64
PHI,2014,PHI Player 1,73,38,47,85
PHI,2014,PHI Player 2,73,28,32,60
PHI,2014,PHI Player 3,78,33,27,60
PIT,2014,Sidney Crosby,75,29,38,67
PIT,2014,Evgeni Malkin,71,23,33,56
PIT,2014,Kris Letang,81,15,35,50
SJS,2014,Joe Thornton,81,43,43,86
SJS,2014,Patrick Marleau,78,34,33,67
SJS,2014,Logan Couture,81,20,33,53
STL,2014,STL Player 1,79,33,42,75
STL,2014,STL Player 2,74,15,41,56
STL,2014,STL Player 3,77,16,26,42
STL,2014,STL Player 4,73,18,30,48
TBL,2014,TBL Player 1,71,40,45,85
TBL,2014,TBL Player 2,70,24,38,62
TBL,2014,TBL Player 3,81,19,43,62
TBL,2014,TBL Player 4,73,32,32,64
TOR,2014,TOR Player 1,70,44,54,98
TOR,2014,TOR Player 2,74,34,42,76
TOR,2014,TOR Player 3,81,23,30,53
TOR,2014,TOR Player 4,70,15,39,54
VAN,2014,Henrik Sedin,79,25,31,56
VAN,2014,Daniel Sedin,73,20,38,58
VAN,2014,Ryan Kesler,73,27,32,59
WSH,2014,Alexander Ovechkin,81,29,45,74
WSH,2014,Nicklas Backstrom,75,32,27,59
WSH,2014,Mike Green,77,17,24,41
WSH,2014,WSH Player 4,78,26,38,64
WPG,2014,WPG Player 1,79,38,40,78
WPG,2014,WPG Player 2,77,33,42,75
WPG,2014,WPG Player 3,72,19,40,59
WPG,2014,WPG Player 4,74,33,22,55
WPG,2014,WPG Player 5,80,31,42,73
