team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
TB,2020,Nikita Kucherov,RW,68,33,52,85,1.25,19.5,1
TB,2020,Brayden Point,C,66,25,40,65,0.98,18.5,1
TB,2020,Steven Stamkos,C,57,29,37,66,1.16,18.5,1
BOS,2020,David Pastrnak,RW,70,48,47,95,1.36,19.0,1
BOS,2020,Brad Marchand,LW,70,28,59,87,1.24,18.5,1
COL,2020,Nathan MacKinnon,C,69,35,58,93,1.35,21.5,1
COL,2020,Mikko Rantanen,RW,42,19,22,41,0.98,19.5,1
COL,2020,Cale Makar,D,57,12,38,50,0.88,21.5,1
EDM,2020,Connor McDavid,C,64,34,63,97,1.52,22.0,1
EDM,2020,Leon Draisaitl,C,71,43,67,110,1.55,22.0,1
VGK,2020,Mark Stone,RW,65,21,42,63,0.97,18.0,1
VGK,2020,Max Pacioretty,LW,71,32,34,66,0.93,18.5,1
DAL,2020,Tyler Seguin,C,69,17,32,49,0.71,18.0,1
DAL,2020,Joe Pavelski,C,67,14,27,41,0.61,17.5,0
WSH,2020,Alex Ovechkin,LW,68,48,19,67,0.99,19.0,1
WSH,2020,John Carlson,D,69,15,60,75,1.09,24.5,1
STL,2020,David Perron,LW,71,25,34,59,0.83,18.5,1
STL,2020,Ryan O'Reilly,C,71,12,49,61,0.86,19.0,1
PIT,2020,Sidney Crosby,C,41,16,31,47,1.15,20.5,1
PIT,2020,Evgeni Malkin,C,55,25,49,74,1.35,19.5,1
PHI,2020,Travis Konecny,RW,66,24,37,61,0.92,18.0,1
PHI,2020,Claude Giroux,C,69,21,32,53,0.77,18.5,1
TOR,2020,Auston Matthews,C,70,47,33,80,1.14,21.0,1
TOR,2020,Mitch Marner,RW,59,16,51,67,1.14,20.5,1
NYI,2020,Mathew Barzal,C,68,19,41,60,0.88,19.0,1
NYI,2020,Anders Lee,LW,68,20,23,43,0.63,17.5,0
CAR,2020,Sebastian Aho,C,68,38,28,66,0.97,19.0,1
CAR,2020,Teuvo Teravainen,RW,68,15,48,63,0.93,18.0,1
FLA,2020,Jonathan Huberdeau,LW,69,23,55,78,1.13,19.0,1
FLA,2020,Aleksander Barkov,C,66,20,42,62,0.94,19.5,1
NYR,2020,Artemi Panarin,LW,69,32,63,95,1.38,19.0,1
NYR,2020,Mika Zibanejad,C,57,41,34,75,1.32,20.0,1
CGY,2020,Johnny Gaudreau,LW,70,18,40,58,0.83,18.0,1
CGY,2020,Matthew Tkachuk,LW,69,23,38,61,0.88,17.5,1
WPG,2020,Mark Scheifele,C,71,29,44,73,1.03,20.0,1
WPG,2020,Kyle Connor,LW,71,38,35,73,1.03,19.0,1
VAN,2020,JT Miller,C,69,27,45,72,1.04,19.5,1
VAN,2020,Elias Pettersson,C,68,27,39,66,0.97,18.5,1
MIN,2020,Kevin Fiala,LW,64,23,31,54,0.84,17.5,1
ARI,2020,Phil Kessel,RW,70,14,24,38,0.54,16.5,0
ARI,2020,Clayton Keller,RW,70,18,27,45,0.64,17.5,0
CHI,2020,Patrick Kane,RW,70,33,51,84,1.20,19.0,1
CHI,2020,Jonathan Toews,C,70,18,42,60,0.86,19.0,1
NJ,2020,Jack Hughes,C,61,7,14,21,0.34,15.5,0
LA,2020,Anze Kopitar,C,70,21,41,62,0.89,20.0,1
NSH,2020,Roman Josi,D,69,16,49,65,0.94,25.0,1
NSH,2020,Filip Forsberg,LW,63,21,27,48,0.76,17.5,1
BUF,2020,Jack Eichel,C,68,36,42,78,1.15,21.0,1
MTL,2020,Tomas Tatar,LW,68,22,39,61,0.90,17.5,1
OTT,2020,Anthony Duclair,LW,66,23,17,40,0.61,16.5,0
ANA,2020,Ryan Getzlaf,C,69,13,29,42,0.61,18.0,0
SJ,2020,Tomas Hertl,C,70,16,20,36,0.51,17.5,0
DET,2020,Dylan Larkin,C,71,19,34,53,0.75,19.5,1
CBJ,2020,Pierre-Luc Dubois,C,70,18,31,49,0.70,18.5,0
