team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
BOS,2023,all,56.2,55.8,298.5,172.4,63.4,57.2,11.2,0.938,105.0,38.5,26.8,86.4
CAR,2023,all,56.8,56.4,262.1,185.2,58.6,57.4,9.5,0.928,102.4,22.8,21.2,85.2
NJ,2023,all,52.4,52.1,268.2,205.4,56.6,53.2,10.2,0.922,102.4,15.4,24.5,82.8
TOR,2023,all,51.8,51.4,258.4,212.8,54.8,52.4,10.0,0.918,101.8,8.5,24.8,80.5
NYR,2023,all,51.2,50.8,248.2,208.5,54.3,51.8,10.1,0.919,102.0,12.2,23.2,81.8
TB,2023,all,50.5,50.2,265.8,242.1,52.3,51.2,9.8,0.910,100.8,1.5,25.5,78.2
FLA,2023,all,49.8,49.4,258.2,258.5,50.0,50.2,9.9,0.908,100.7,-2.4,22.8,78.5
NYI,2023,all,48.2,47.8,228.4,225.8,50.3,48.6,10.0,0.914,101.4,5.2,19.2,82.4
VGK,2023,all,53.5,53.2,258.4,205.2,55.7,54.1,9.9,0.922,101.9,14.8,23.5,83.2
EDM,2023,all,52.8,52.4,298.5,245.2,54.9,53.4,10.1,0.912,101.3,4.5,28.2,78.8
COL,2023,all,54.2,53.8,278.2,228.4,54.9,54.5,9.7,0.916,101.4,6.8,25.8,80.5
DAL,2023,all,52.5,52.2,248.1,192.4,56.3,53.2,9.8,0.924,102.2,18.5,22.4,84.8
MIN,2023,all,50.2,49.8,234.5,212.8,52.4,50.5,9.8,0.918,101.6,8.2,19.5,83.2
SEA,2023,all,49.8,49.4,265.2,238.4,52.7,50.2,9.8,0.912,101.0,2.4,22.8,79.5
WPG,2023,all,49.2,48.8,235.8,218.5,51.9,49.6,9.9,0.916,101.5,6.5,21.5,81.2
LA,2023,all,51.5,51.2,268.4,252.8,51.5,51.8,9.9,0.908,100.7,-1.2,24.2,78.8
PIT,2023,all,48.8,48.4,248.2,245.5,50.3,49.2,9.8,0.908,100.6,-2.5,22.5,78.2
BUF,2023,all,49.5,49.2,285.4,278.2,50.6,49.8,9.9,0.902,100.1,-8.2,23.8,77.5
OTT,2023,all,48.2,47.8,252.1,258.4,49.4,48.5,9.8,0.906,100.4,-4.2,21.5,78.8
CGY,2023,all,50.5,50.2,228.4,225.8,50.3,50.4,9.7,0.912,100.9,2.8,18.5,81.5
DET,2023,all,47.5,47.2,232.4,262.1,47.0,47.8,9.8,0.900,99.8,-10.2,18.2,77.2
NSH,2023,all,49.2,48.8,238.5,242.8,49.5,49.4,9.8,0.910,100.8,0.5,19.8,80.5
STL,2023,all,48.5,48.2,245.2,268.4,47.7,48.8,9.8,0.900,99.8,-8.5,20.5,77.8
WSH,2023,all,48.2,47.8,238.2,258.5,48.0,48.4,9.7,0.904,100.1,-5.2,19.2,78.5
PHI,2023,all,46.5,46.2,212.4,262.8,44.7,46.8,9.8,0.902,99.9,-8.8,17.5,78.2
VAN,2023,all,48.8,48.4,258.2,268.5,49.0,49.2,9.7,0.902,99.9,-6.5,21.2,77.5
ARI,2023,all,45.8,45.4,208.4,275.2,43.1,46.2,9.8,0.898,99.6,-12.5,16.8,76.8
MTL,2023,all,46.2,45.8,218.5,285.4,43.4,46.5,9.8,0.894,99.2,-15.2,17.2,75.5
SJ,2023,all,44.5,44.2,212.4,298.5,41.6,45.1,9.7,0.888,98.5,-22.4,16.5,74.2
CHI,2023,all,44.2,43.8,188.5,295.2,39.0,44.5,9.8,0.892,99.0,-18.5,15.8,75.8
ANA,2023,all,43.8,43.4,188.2,318.4,37.2,44.2,9.9,0.878,96.7,-28.5,16.2,72.5
CBJ,2023,all,44.5,44.2,202.4,305.2,39.9,44.8,9.8,0.882,98.0,-24.2,17.5,73.8
