team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2014,13,2,0,2,0,0,0,1,7,6
ARI,2014,0,0,0,0,0,0,0,0,0,0
BOS,2014,55,11,8,3,2,2,1,1,5,5
BUF,2014,7,1,0,1,0,0,0,0,0,0
CGY,2014,0,0,0,0,0,0,0,0,0,0
CAR,2014,0,0,0,0,0,0,0,0,0,0
CHI,2014,35,7,4,3,2,2,2,2,11,7
COL,2014,0,0,0,0,0,0,0,0,3,4
CBJ,2014,0,0,0,0,0,0,0,0,2,4
DAL,2014,0,0,0,0,0,0,0,0,2,4
DET,2014,26,5,2,3,0,0,0,0,1,4
EDM,2014,0,0,0,0,0,0,0,0,0,0
FLA,2014,7,2,1,1,0,0,0,0,0,0
LAK,2014,41,9,6,3,2,1,1,4,16,10
MIN,2014,5,1,0,1,0,0,0,1,6,6
MTL,2014,12,2,0,2,1,0,0,2,9,6
NSH,2014,23,4,2,2,0,0,0,0,0,0
NJD,2014,24,4,3,1,1,1,0,0,0,0
NYI,2014,6,1,0,1,0,0,0,0,0,0
NYR,2014,35,6,3,3,1,0,0,3,13,9
OTT,2014,16,3,1,2,0,0,0,0,0,0
PHI,2014,14,3,1,2,1,1,0,0,3,4
PIT,2014,27,5,2,3,1,0,0,1,6,6
SJS,2014,28,6,3,3,2,0,0,0,3,4
STL,2014,15,3,1,2,0,0,0,0,2,4
TBL,2014,18,3,2,1,1,0,0,0,0,4
TOR,2014,7,1,0,1,0,0,0,0,0,0
VAN,2014,34,6,3,3,2,1,0,0,0,0
WSH,2014,23,4,1,3,0,0,0,0,0,0
WPG,2014,0,0,0,0,0,0,0,0,0,0
