team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2012,6,1,0,1,0,0,0,0,0,0
ARI,2012,0,0,0,0,0,0,0,0,0,0
BOS,2012,33,7,5,2,1,1,1,1,4,4
BUF,2012,13,2,0,2,0,0,0,0,0,0
CGY,2012,0,0,0,0,0,0,0,0,0,0
CAR,2012,0,0,0,0,0,0,0,0,0,0
CHI,2012,29,6,4,2,1,1,1,0,2,4
COL,2012,6,1,0,1,0,0,0,0,0,0
CBJ,2012,0,0,0,0,0,0,0,0,0,0
DAL,2012,0,0,0,0,0,0,0,0,0,0
DET,2012,16,4,2,2,0,0,0,0,1,4
EDM,2012,0,0,0,0,0,0,0,0,0,0
FLA,2012,0,0,0,0,0,0,0,1,3,4
LAK,2012,12,2,0,2,0,0,0,4,16,4
MIN,2012,0,0,0,0,0,0,0,0,0,0
MTL,2012,21,4,2,2,1,0,0,0,0,0
NSH,2012,18,3,1,2,0,0,0,1,6,5
NJD,2012,5,1,0,1,0,0,0,3,14,10
NYI,2012,0,0,0,0,0,0,0,0,0,0
NYR,2012,5,1,0,1,0,0,0,2,10,8
OTT,2012,6,1,0,1,0,0,0,0,3,4
PHI,2012,28,6,4,2,1,1,0,0,1,4
PIT,2012,15,3,1,2,0,0,0,0,2,4
SJS,2012,27,6,4,2,2,0,0,0,1,4
STL,2012,0,0,0,0,0,0,0,1,4,5
TBL,2012,18,3,2,1,1,0,0,0,0,0
TOR,2012,0,0,0,0,0,0,0,0,0,0
VAN,2012,35,7,5,2,2,1,0,0,1,4
WSH,2012,16,3,1,2,0,0,0,0,3,4
WPG,2012,0,0,0,0,0,0,0,0,0,0
