team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,made_playoffs,playoff_success,won_cup
ANA,2013,48,25,14,9,59,157,138,True,1,False
ARI,2013,48,14,28,6,34,162,113,False,0,False
BOS,2013,48,28,10,10,66,126,100,True,3,False
BUF,2013,48,15,28,5,35,154,139,False,0,False
CGY,2013,48,24,17,7,55,167,110,False,0,False
CAR,2013,48,22,18,8,52,115,155,False,0,False
CHI,2013,48,33,10,5,71,183,128,True,4,True
COL,2013,48,20,19,9,49,143,109,False,0,False
CBJ,2013,48,19,15,14,52,112,107,False,0,False
DAL,2013,48,17,20,11,45,129,159,False,0,False
DET,2013,48,27,11,10,64,118,139,True,1,False
EDM,2013,48,19,23,6,44,167,150,False,0,False
FLA,2013,48,22,12,14,58,164,149,False,0,False
LAK,2013,48,26,10,12,64,164,108,True,2,False
MIN,2013,48,25,17,6,56,126,121,True,1,False
MTL,2013,48,28,10,10,66,115,114,True,1,False
NSH,2013,48,20,17,11,51,165,143,False,0,False
NJD,2013,48,20,20,8,48,135,146,False,0,False
NYI,2013,48,28,10,10,66,111,136,True,1,False
NYR,2013,48,27,10,11,65,123,138,True,1,False
OTT,2013,48,29,10,9,67,139,117,True,1,False
PHI,2013,48,20,19,9,49,148,119,False,0,False
PIT,2013,48,27,14,7,61,128,120,True,2,False
SJS,2013,48,24,10,14,62,115,155,True,1,False
STL,2013,48,29,10,9,67,133,128,True,1,False
TBL,2013,48,20,20,8,48,160,140,False,0,False
TOR,2013,48,28,14,6,62,118,132,True,1,False
VAN,2013,48,25,11,12,62,149,141,True,1,False
WSH,2013,48,26,15,7,59,112,159,True,1,False
WPG,2013,48,23,12,13,59,165,109,False,0,False
