team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2023,0,0,0,0,0,0,0,0,0,0
ARI,2023,5,1,0,1,0,0,0,0,0,0
BOS,2023,30,5,2,3,1,1,0,0,3,4
BUF,2023,0,0,0,0,0,0,0,0,0,0
CGY,2023,16,3,1,2,0,0,0,0,0,0
CAR,2023,29,5,2,3,1,0,0,2,8,5
CHI,2023,5,1,0,1,0,0,0,0,0,0
COL,2023,41,9,6,3,1,1,1,0,2,4
CBJ,2023,0,0,0,0,0,0,0,0,0,0
DAL,2023,32,5,3,2,1,1,0,2,10,7
DET,2023,0,0,0,0,0,0,0,0,0,0
EDM,2023,21,4,2,2,1,0,0,1,6,5
FLA,2023,17,3,1,2,0,0,0,3,13,9
LAK,2023,7,1,0,1,0,0,0,0,2,4
MIN,2023,13,2,0,2,0,0,0,0,2,4
MTL,2023,31,5,3,2,1,1,0,0,0,0
NSH,2023,10,2,0,2,0,0,0,0,0,0
NJD,2023,0,0,0,0,0,0,0,1,5,5
NYI,2023,36,6,4,2,2,0,0,0,2,4
NYR,2023,19,3,2,1,1,0,0,0,3,4
OTT,2023,0,0,0,0,0,0,0,0,0,0
PHI,2023,13,2,1,1,0,0,0,0,0,0
PIT,2023,13,2,0,2,0,0,0,0,0,0
SJS,2023,0,0,0,0,1,0,0,0,0,0
STL,2023,22,4,1,3,1,1,1,0,0,0
TBL,2023,65,14,11,3,4,3,2,0,2,4
TOR,2023,20,3,0,3,0,0,0,1,6,5
VAN,2023,17,2,1,1,0,0,0,0,0,0
WSH,2023,16,3,0,3,1,1,1,0,0,0
WPG,2023,8,2,1,1,1,0,0,0,1,4
VGK,2023,33,6,4,2,3,1,0,4,16,6
SEA,2023,0,0,0,0,0,0,0,1,6,6
