team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
TBL,2019,Nikita Kucherov,RW,82,41,87,128,1.56,19.8,1
TBL,2019,Steven Stamkos,C,82,45,53,98,1.20,19.2,1
TBL,2019,Brayden Point,C,79,41,51,92,1.16,18.5,1
CGY,2019,Johnny Gaudreau,LW,82,36,63,99,1.21,18.5,1
CGY,2019,Matthew Tkachuk,LW,80,34,43,77,0.96,17.5,1
BOS,2019,Brad Marchand,LW,79,36,64,100,1.27,19.0,1
BOS,2019,David Pastrnak,RW,66,38,43,81,1.23,18.5,1
WSH,2019,Alex Ovechkin,LW,81,51,38,89,1.10,19.8,1
WSH,2019,Nicklas Backstrom,C,80,22,52,74,0.93,18.5,1
NYI,2019,Mathew Barzal,C,82,18,44,62,0.76,18.5,1
SJS,2019,Brent Burns,D,82,16,67,83,1.01,25.2,1
SJS,2019,Joe Thornton,C,73,16,35,51,0.70,17.5,1
TOR,2019,John Tavares,C,82,47,41,88,1.07,19.0,1
TOR,2019,Mitch Marner,RW,82,26,68,94,1.15,19.5,1
TOR,2019,Auston Matthews,C,68,37,36,73,1.07,18.8,1
NSH,2019,Roman Josi,D,83,15,41,56,0.67,25.0,1
NSH,2019,Filip Forsberg,LW,64,28,22,50,0.78,17.5,1
WPG,2019,Mark Scheifele,C,82,38,46,84,1.02,19.5,1
WPG,2019,Blake Wheeler,RW,71,20,71,91,1.28,20.5,1
STL,2019,Ryan O'Reilly,C,82,28,49,77,0.94,19.2,1
STL,2019,Vladimir Tarasenko,RW,76,33,35,68,0.89,18.2,1
CAR,2019,Sebastian Aho,C,82,30,53,83,1.01,18.8,1
PIT,2019,Sidney Crosby,C,79,35,65,100,1.27,20.5,1
PIT,2019,Evgeni Malkin,C,68,21,51,72,1.06,18.8,1
COL,2019,Nathan MacKinnon,C,82,41,58,99,1.21,21.5,1
COL,2019,Mikko Rantanen,RW,74,31,56,87,1.18,19.5,1
DAL,2019,Tyler Seguin,C,82,33,47,80,0.98,19.0,1
CBJ,2019,Artemi Panarin,LW,79,28,59,87,1.10,18.5,1
VGK,2019,Mark Stone,RW,70,33,40,73,1.04,18.8,1
EDM,2019,Connor McDavid,C,78,41,75,116,1.49,22.0,1
EDM,2019,Leon Draisaitl,C,82,50,55,105,1.28,21.2,1
FLA,2019,Aleksander Barkov,C,82,35,61,96,1.17,19.8,1
CHI,2019,Patrick Kane,RW,81,44,66,110,1.36,21.5,1
NYR,2019,Mika Zibanejad,C,82,30,44,74,0.90,19.2,1
MTL,2019,Max Domi,C,82,28,44,72,0.88,17.5,1
