team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
COL,2021,8,2,0,34,20,W,5
VGK,2021,7,2,1,32,24,W,3
TB,2021,6,3,1,30,25,W,2
CAR,2021,7,3,0,28,21,W,4
FLA,2021,6,4,0,29,26,W,1
TOR,2021,6,3,1,30,25,W,2
EDM,2021,5,4,1,29,28,L,1
WPG,2021,5,4,1,26,27,W,1
BOS,2021,5,4,1,27,26,W,2
PIT,2021,6,4,0,29,27,W,1
NYI,2021,6,4,0,26,24,W,3
WSH,2021,5,5,0,27,28,L,2
MIN,2021,5,4,1,26,27,W,1
STL,2021,5,5,0,28,29,L,1
NSH,2021,4,5,1,25,28,L,2
MTL,2021,5,4,1,26,26,W,2
CHI,2021,4,5,1,24,28,L,1
DAL,2021,4,5,1,23,26,L,3
PHI,2021,4,5,1,25,29,L,2
NYR,2021,4,5,1,25,28,L,1
CGY,2021,4,5,1,24,28,L,2
LA,2021,4,5,1,24,27,L,1
ARI,2021,4,5,1,23,27,L,2
SJ,2021,3,6,1,22,30,L,4
NJ,2021,4,5,1,25,30,L,1
VAN,2021,4,5,1,26,31,L,3
OTT,2021,3,6,1,22,31,L,2
DET,2021,3,6,1,20,30,L,3
BUF,2021,2,7,1,19,33,L,5
ANA,2021,3,6,1,21,30,L,2
CBJ,2021,4,5,1,24,29,L,1
