team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
NSH,2018,7,2,1,30,22,W,3
WPG,2018,7,2,1,34,24,W,4
TBL,2018,6,3,1,32,26,W,2
BOS,2018,7,2,1,30,22,W,3
VGK,2018,6,3,1,28,24,W,2
TOR,2018,5,4,1,30,28,W,1
MIN,2018,5,4,1,26,26,L,1
SJS,2018,5,4,1,26,26,W,1
LAK,2018,6,3,1,24,20,W,2
ANA,2018,5,4,1,26,26,L,2
PIT,2018,5,4,1,30,28,W,1
WSH,2018,6,3,1,28,26,W,2
PHI,2018,5,4,1,28,28,W,1
COL,2018,5,4,1,28,28,L,1
NJD,2018,5,4,1,28,28,W,1
CBJ,2018,5,4,1,26,26,L,2
FLA,2018,5,4,1,28,28,L,1
STL,2018,5,4,1,24,24,W,1
DAL,2018,4,5,1,24,28,L,2
CAR,2018,4,5,1,26,30,L,2
CHI,2018,3,6,1,26,34,L,3
NYI,2018,4,5,1,32,36,L,1
CGY,2018,4,5,1,24,30,L,2
NYR,2018,3,6,1,28,34,L,3
EDM,2018,4,5,1,28,32,L,2
VAN,2018,3,6,1,24,32,L,4
DET,2018,3,6,1,26,34,L,2
MTL,2018,2,7,1,22,36,L,5
OTT,2018,3,6,1,26,36,L,3
BUF,2018,2,7,1,22,38,L,4
ARI,2018,3,6,1,24,32,L,3
