team,season,player,games,goals,assists,points
ANA,2013,ANA Player 1,47,20,22,42
ANA,2013,ANA Player 2,47,14,18,32
ANA,2013,ANA Player 3,43,12,17,29
ANA,2013,ANA Player 4,44,14,19,33
ANA,2013,ANA Player 5,43,13,19,32
ARI,2013,ARI Player 1,45,18,25,43
ARI,2013,ARI Player 2,41,11,23,34
ARI,2013,ARI Player 3,47,12,25,37
ARI,2013,ARI Player 4,42,9,25,34
ARI,2013,ARI Player 5,45,19,24,43
BOS,2013,Zdeno Chara,42,22,24,46
BOS,2013,Patrice Bergeron,43,14,11,25
BOS,2013,David Krejci,42,9,13,22
BOS,2013,BOS Player 4,43,15,14,29
BUF,2013,BUF Player 1,46,25,26,51
BUF,2013,BUF Player 2,43,9,19,28
BUF,2013,BUF Player 3,47,13,14,27
BUF,2013,BUF Player 4,45,11,18,29
CGY,2013,CGY Player 1,43,24,23,47
CGY,2013,CGY Player 2,41,16,24,40
CGY,2013,CGY Player 3,47,19,13,32
CGY,2013,CGY Player 4,47,14,13,27
CAR,2013,CAR Player 1,47,15,31,46
CAR,2013,CAR Player 2,45,18,15,33
CAR,2013,CAR Player 3,44,18,12,30
CAR,2013,CAR Player 4,41,20,18,38
CAR,2013,CAR Player 5,42,17,24,41
CHI,2013,Patrick Kane,45,21,32,53
CHI,2013,Jonathan Toews,41,15,15,30
CHI,2013,Marian Hossa,42,20,24,44
COL,2013,COL Player 1,46,18,17,35
COL,2013,COL Player 2,41,20,22,42
COL,2013,COL Player 3,46,11,13,24
CBJ,2013,CBJ Player 1,47,20,19,39
CBJ,2013,CBJ Player 2,47,17,16,33
CBJ,2013,CBJ Player 3,41,17,17,34
CBJ,2013,CBJ Player 4,41,15,19,34
CBJ,2013,CBJ Player 5,42,19,15,34
DAL,2013,DAL Player 1,45,24,27,51
DAL,2013,DAL Player 2,44,12,13,25
DAL,2013,DAL Player 3,44,9,16,25
DAL,2013,DAL Player 4,41,19,16,35
DET,2013,Pavel Datsyuk,42,24,31,55
DET,2013,Henrik Zetterberg,45,16,19,35
DET,2013,Nicklas Lidstrom,44,15,18,33
DET,2013,DET Player 4,47,14,23,37
EDM,2013,EDM Player 1,44,21,23,44
EDM,2013,EDM Player 2,41,10,11,21
EDM,2013,EDM Player 3,47,18,17,35
EDM,2013,EDM Player 4,41,20,22,42
EDM,2013,EDM Player 5,42,8,13,21
FLA,2013,FLA Player 1,42,23,24,47
FLA,2013,FLA Player 2,41,16,15,31
FLA,2013,FLA Player 3,44,11,15,26
FLA,2013,FLA Player 4,46,11,25,36
FLA,2013,FLA Player 5,44,12,21,33
LAK,2013,Anze Kopitar,43,20,23,43
LAK,2013,Drew Doughty,47,14,21,35
LAK,2013,Jeff Carter,44,18,16,34
MIN,2013,MIN Player 1,45,20,22,42
MIN,2013,MIN Player 2,46,18,23,41
MIN,2013,MIN Player 3,43,13,15,28
MTL,2013,MTL Player 1,42,17,31,48
MTL,2013,MTL Player 2,43,10,17,27
MTL,2013,MTL Player 3,47,13,12,25
NSH,2013,NSH Player 1,47,24,19,43
NSH,2013,NSH Player 2,41,19,12,31
NSH,2013,NSH Player 3,44,11,17,28
NSH,2013,NSH Player 4,43,16,12,28
NJD,2013,NJD Player 1,45,25,31,56
NJD,2013,NJD Player 2,45,15,25,40
NJD,2013,NJD Player 3,43,10,21,31
NJD,2013,NJD Player 4,45,11,14,25
NYI,2013,NYI Player 1,43,16,27,43
NYI,2013,NYI Player 2,45,19,18,37
NYI,2013,NYI Player 3,42,15,18,33
NYI,2013,NYI Player 4,45,9,21,30
NYR,2013,NYR Player 1,42,17,20,37
NYR,2013,NYR Player 2,46,10,20,30
NYR,2013,NYR Player 3,43,16,13,29
NYR,2013,NYR Player 4,45,17,17,34
NYR,2013,NYR Player 5,46,15,18,33
OTT,2013,OTT Player 1,43,20,21,41
OTT,2013,OTT Player 2,44,9,19,28
OTT,2013,OTT Player 3,44,9,12,21
PHI,2013,PHI Player 1,42,18,21,39
PHI,2013,PHI Player 2,46,19,18,37
PHI,2013,PHI Player 3,42,18,13,31
PHI,2013,PHI Player 4,44,12,18,30
PIT,2013,Sidney Crosby,42,14,20,34
PIT,2013,Evgeni Malkin,44,8,22,30
PIT,2013,Kris Letang,43,15,18,33
SJS,2013,Joe Thornton,41,23,19,42
SJS,2013,Patrick Marleau,41,10,21,31
SJS,2013,Logan Couture,44,10,17,27
SJS,2013,SJS Player 4,43,13,12,25
STL,2013,STL Player 1,44,16,23,39
STL,2013,STL Player 2,46,12,17,29
STL,2013,STL Player 3,46,15,18,33
STL,2013,STL Player 4,44,15,22,37
TBL,2013,TBL Player 1,46,17,26,43
TBL,2013,TBL Player 2,46,10,19,29
TBL,2013,TBL Player 3,45,10,14,24
TOR,2013,TOR Player 1,46,18,27,45
TOR,2013,TOR Player 2,41,16,19,35
TOR,2013,TOR Player 3,46,10,21,31
VAN,2013,Henrik Sedin,46,18,27,45
VAN,2013,Daniel Sedin,44,15,19,34
VAN,2013,Ryan Kesler,46,17,20,37
VAN,2013,VAN Player 4,45,19,14,33
WSH,2013,Alexander Ovechkin,41,19,18,37
WSH,2013,Nicklas Backstrom,45,18,11,29
WSH,2013,Mike Green,44,14,13,27
WSH,2013,WSH Player 4,46,18,12,30
WSH,2013,WSH Player 5,43,17,12,29
WPG,2013,WPG Player 1,45,20,22,42
WPG,2013,WPG Player 2,47,15,15,30
WPG,2013,WPG Player 3,42,13,25,38
WPG,2013,WPG Player 4,46,12,19,31
WPG,2013,WPG Player 5,46,16,13,29
