team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
COL,2022,19,7,5,2,4,3,14,4,10
FLA,2022,18,8,4,2,5,3,13,5,9
CAR,2022,17,9,5,3,2,4,11,6,7
TOR,2022,16,10,4,3,3,5,10,6,7
NYR,2022,18,8,5,2,4,4,12,5,9
TBL,2022,15,10,4,3,3,4,10,6,7
BOS,2022,14,11,3,4,4,4,9,7,6
PIT,2022,15,11,4,4,2,5,9,7,6
WSH,2022,14,12,3,4,4,4,8,8,5
MIN,2022,16,10,4,3,3,5,10,6,7
STL,2022,17,9,5,3,2,4,11,5,8
CGY,2022,18,8,4,2,5,3,12,4,9
EDM,2022,15,11,3,4,4,4,9,7,6
DAL,2022,14,11,3,4,4,5,8,7,5
NSH,2022,13,12,3,5,4,4,8,8,5
LAK,2022,15,10,4,3,3,5,9,6,6
VGK,2022,13,12,3,4,4,5,8,8,5
VAN,2022,11,14,2,5,3,5,6,10,3
WPG,2022,12,13,3,5,2,5,7,9,4
NJD,2022,13,12,4,4,2,5,8,8,5
DET,2022,12,13,3,5,2,5,7,9,4
BUF,2022,11,14,2,5,3,5,6,10,3
OTT,2022,12,13,3,5,2,5,7,9,4
PHI,2022,10,15,2,5,3,6,5,11,2
CHI,2022,11,14,3,5,2,5,6,10,3
ANA,2022,12,13,3,5,2,5,7,9,4
SJ,2022,11,14,3,5,2,5,6,10,3
CBJ,2022,10,15,2,5,2,6,5,11,2
SEA,2022,12,13,3,5,2,5,7,9,4
MTL,2022,8,17,2,6,1,6,4,13,2
NYI,2022,12,13,3,5,3,5,7,9,4
ARI,2022,9,16,2,5,2,6,4,12,2
