team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
TBL,2020,+550,0.154,−380,0.792,1,1
BOS,2020,+600,0.143,−350,0.778,1,0
COL,2020,+700,0.125,−320,0.762,1,0
STL,2020,+800,0.111,−300,0.750,1,0
WSH,2020,+900,0.100,−280,0.737,1,0
VGK,2020,+1000,0.091,−250,0.714,1,0
PIT,2020,+1200,0.077,−220,0.688,1,0
DAL,2020,+1400,0.067,−200,0.667,1,0
PHI,2020,+1400,0.067,−180,0.643,1,0
EDM,2020,+1600,0.059,−180,0.643,1,0
TOR,2020,+1600,0.059,−160,0.615,1,0
CAR,2020,+1800,0.053,−150,0.600,1,0
NYI,2020,+2000,0.048,−140,0.583,1,0
CGY,2020,+2200,0.043,−130,0.565,1,0
VAN,2020,+2500,0.038,−120,0.545,1,0
WPG,2020,+2500,0.038,−110,0.524,1,0
FLA,2020,+2800,0.034,+100,0.500,1,0
ARI,2020,+3000,0.032,+110,0.476,1,0
MIN,2020,+3000,0.032,+120,0.455,1,0
NSH,2020,+3500,0.028,+130,0.435,1,0
CBJ,2020,+3500,0.028,+140,0.417,1,0
CHI,2020,+4000,0.024,+160,0.385,1,0
NYR,2020,+4500,0.022,+180,0.357,1,0
MTL,2020,+5000,0.020,+200,0.333,1,0
BUF,2020,+6000,0.016,+250,0.286,0,0
NJD,2020,+8000,0.012,+300,0.250,0,0
ANA,2020,+8000,0.012,+280,0.263,0,0
SJ,2020,+10000,0.010,+320,0.238,0,0
LAK,2020,+12000,0.008,+350,0.222,0,0
OTT,2020,+15000,0.007,+400,0.200,0,0
DET,2020,+25000,0.004,+600,0.143,0,0
