team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2010,0,0,0,0,0,0,0,0,0,0
ARI,2010,0,0,0,0,0,0,0,0,0,0
BOS,2010,0,0,0,0,0,0,0,1,4,4
BUF,2010,0,0,0,0,0,0,0,0,2,4
CGY,2010,0,0,0,0,0,0,0,0,0,0
CAR,2010,0,0,0,0,0,0,0,0,0,0
CHI,2010,0,0,0,0,0,0,0,4,16,6
COL,2010,0,0,0,0,0,0,0,0,2,4
CBJ,2010,0,0,0,0,0,0,0,0,0,0
DAL,2010,0,0,0,0,0,0,0,0,0,0
DET,2010,0,0,0,0,0,0,0,1,4,4
EDM,2010,0,0,0,0,0,0,0,0,0,0
FLA,2010,0,0,0,0,0,0,0,0,0,0
LAK,2010,0,0,0,0,0,0,0,0,2,4
MIN,2010,0,0,0,0,0,0,0,0,0,0
MTL,2010,0,0,0,0,0,0,0,2,8,6
NSH,2010,0,0,0,0,0,0,0,0,2,4
NJD,2010,0,0,0,0,0,0,0,0,1,4
NYI,2010,0,0,0,0,0,0,0,0,0,0
NYR,2010,0,0,0,0,0,0,0,0,0,0
OTT,2010,0,0,0,0,0,0,0,0,2,4
PHI,2010,0,0,0,0,0,0,0,3,12,7
PIT,2010,0,0,0,0,0,0,0,1,4,4
SJS,2010,0,0,0,0,0,0,0,2,8,5
STL,2010,0,0,0,0,0,0,0,0,0,0
TBL,2010,0,0,0,0,0,0,0,0,0,0
TOR,2010,0,0,0,0,0,0,0,0,0,0
VAN,2010,0,0,0,0,0,0,0,2,6,4
WSH,2010,0,0,0,0,0,0,0,0,3,4
WPG,2010,0,0,0,0,0,0,0,0,0,0
