team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,made_playoffs,playoff_success,won_cup
ANA,2014,82,40,31,11,91,266,228,True,1,False
ARI,2014,82,38,35,9,85,227,202,False,0,False
BOS,2014,82,49,22,11,109,220,278,True,1,False
BUF,2014,82,31,43,8,70,250,220,False,0,False
CGY,2014,82,27,47,8,62,188,239,False,0,False
CAR,2014,82,29,47,6,64,241,254,False,0,False
CHI,2014,82,49,19,14,112,215,247,True,2,False
COL,2014,82,43,24,15,101,209,260,True,1,False
CBJ,2014,82,42,31,9,93,233,235,True,1,False
DAL,2014,82,43,34,5,91,249,194,True,1,False
DET,2014,82,40,32,10,90,267,219,True,1,False
EDM,2014,82,43,30,9,95,211,189,False,0,False
FLA,2014,82,42,28,12,96,233,260,False,0,False
LAK,2014,82,56,15,11,123,267,228,True,4,True
MIN,2014,82,39,36,7,85,271,220,True,1,False
MTL,2014,82,46,28,8,100,218,181,True,2,False
NSH,2014,82,32,44,6,70,271,252,False,0,False
NJD,2014,82,29,46,7,65,263,245,False,0,False
NYI,2014,82,37,36,9,83,262,259,False,0,False
NYR,2014,82,48,29,5,101,228,223,True,3,False
OTT,2014,82,33,42,7,73,263,253,False,0,False
PHI,2014,82,50,22,10,110,232,256,True,1,False
PIT,2014,82,38,31,13,89,271,275,True,1,False
SJS,2014,82,40,32,10,90,193,266,True,1,False
STL,2014,82,45,31,6,96,207,211,True,1,False
TBL,2014,82,43,30,9,95,245,241,True,1,False
TOR,2014,82,42,35,5,89,269,270,False,0,False
VAN,2014,82,44,24,14,102,262,181,False,0,False
WSH,2014,82,35,41,6,76,193,270,False,0,False
WPG,2014,82,38,38,6,82,203,247,False,0,False
