team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
MTL,2015,18,8,5,3,4,5,12,5,9
TBL,2015,16,10,4,3,4,4,10,6,7
NYR,2015,17,9,4,2,4,4,11,5,8
STL,2015,16,10,4,3,4,4,10,6,7
NSH,2015,17,9,5,4,3,4,11,5,8
CHI,2015,15,10,4,3,3,3,10,6,7
ANA,2015,17,9,4,3,4,3,11,5,8
VAN,2015,14,10,3,3,4,3,9,6,6
WPG,2015,16,10,6,5,3,5,10,6,7
MIN,2015,15,11,4,4,4,4,9,7,6
CGY,2015,15,11,4,4,3,4,9,7,6
WSH,2015,17,10,6,5,2,5,11,6,8
NYI,2015,15,11,4,4,3,4,9,7,6
DET,2015,17,11,6,6,4,5,11,7,8
OTT,2015,17,11,6,6,4,5,11,7,8
PIT,2015,16,12,5,5,4,5,10,8,7
BOS,2015,16,11,6,6,3,5,10,7,7
FLA,2015,16,12,6,6,4,6,10,8,7
LAK,2015,17,12,6,6,4,6,11,8,8
SJS,2015,14,12,4,5,4,5,8,8,5
COL,2015,15,13,5,5,4,6,9,9,6
NJD,2015,14,14,5,6,4,6,8,10,5
DAL,2015,15,13,5,5,4,5,9,9,6
PHI,2015,16,14,7,7,4,7,10,10,7
CBJ,2015,13,13,3,4,4,3,8,9,5
CAR,2015,12,14,4,5,4,6,7,10,4
TOR,2015,11,15,3,5,4,5,6,11,3
EDM,2015,10,16,4,6,4,6,5,12,2
ARI,2015,10,16,4,6,2,6,5,12,2
BUF,2015,9,17,3,6,3,6,4,13,1
