team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
COL,2024,18,8,6,2,2,2,12,5,8
FLA,2024,20,6,5,1,3,2,14,4,10
VGK,2024,16,10,4,3,3,4,10,6,7
EDM,2024,17,9,5,2,4,3,13,5,9
DAL,2024,19,8,4,2,3,5,11,4,8
NYR,2024,18,7,5,2,4,3,12,5,9
CAR,2024,17,9,4,3,3,4,11,6,7
TOR,2024,15,11,3,4,4,4,9,7,6
TBL,2024,14,10,4,3,3,3,10,6,7
BOS,2024,16,10,3,4,2,5,8,7,5
MIN,2024,13,12,3,4,3,5,7,8,4
WPG,2024,17,8,5,2,3,3,11,5,8
VAN,2024,18,7,4,2,5,3,12,4,9
NSH,2024,12,13,2,4,3,5,6,9,4
STL,2024,11,14,2,4,2,5,5,10,3
LAK,2024,15,10,3,3,4,4,9,6,6
PIT,2024,12,13,3,5,2,5,7,9,4
NJD,2024,14,11,3,4,3,4,8,7,5
PHI,2024,13,12,4,4,2,5,8,8,5
NYI,2024,14,11,3,4,3,4,9,7,6
WSH,2024,15,10,4,3,3,5,10,6,7
BUF,2024,11,14,2,5,2,5,6,10,3
DET,2024,14,11,4,4,2,4,9,7,6
OTT,2024,12,13,3,4,2,5,7,9,4
ARI,2024,10,15,2,4,2,6,5,11,2
MTL,2024,11,14,3,5,2,5,6,10,3
CGY,2024,12,13,3,4,2,6,7,9,4
ANA,2024,9,16,2,5,1,6,4,12,2
CHI,2024,8,17,2,5,1,6,3,13,1
CBJ,2024,10,15,2,5,2,6,5,11,2
SJ,2024,7,18,1,5,1,6,2,14,1
SEA,2024,13,12,3,4,3,5,8,8,5
