team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
WSH,2016,Alex Ovechkin,LW,79,50,21,71,0.90,20.2,1
WSH,2016,Nicklas Backstrom,C,75,20,50,70,0.93,19.0,1
DAL,2016,Jamie Benn,LW,82,41,48,89,1.09,19.8,1
DAL,2016,Tyler Seguin,C,72,33,40,73,1.01,19.5,1
STL,2016,Vladimir Tarasenko,RW,80,40,34,74,0.93,18.8,1
CHI,2016,Patrick Kane,RW,82,46,60,106,1.29,21.2,1
CHI,2016,Artemi Panarin,LW,80,30,47,77,0.96,17.8,1
PIT,2016,Sidney Crosby,C,80,36,49,85,1.06,19.8,1
PIT,2016,Evgeni Malkin,C,57,27,31,58,1.02,18.5,1
LAK,2016,Anze Kopitar,C,81,25,49,74,0.91,21.5,1
ANA,2016,Corey Perry,RW,82,34,28,62,0.76,18.2,1
NYR,2016,Mats Zuccarello,RW,81,26,35,61,0.75,17.8,1
SJS,2016,Joe Pavelski,C,82,38,40,78,0.95,19.5,1
SJS,2016,Brent Burns,D,82,27,48,75,0.91,24.8,1
FLA,2016,Jaromir Jagr,RW,79,27,39,66,0.84,17.5,1
TBL,2016,Nikita Kucherov,RW,77,30,36,66,0.86,18.5,1
TBL,2016,Steven Stamkos,C,77,36,28,64,0.83,18.2,1
NSH,2016,Roman Josi,D,82,14,47,61,0.74,25.2,1
NYI,2016,John Tavares,C,78,33,37,70,0.90,19.5,1
PHI,2016,Jakub Voracek,RW,78,11,44,55,0.71,18.8,1
DET,2016,Dylan Larkin,C,80,23,22,45,0.56,17.2,1
MIN,2016,Zach Parise,LW,70,25,28,53,0.76,18.5,1
EDM,2016,Taylor Hall,LW,82,26,39,65,0.79,19.2,1
BOS,2016,Brad Marchand,LW,77,37,24,61,0.79,17.8,1
NJD,2016,Adam Henrique,C,82,30,26,56,0.68,17.5,1
TOR,2016,Nazem Kadri,C,76,17,28,45,0.59,16.8,0
COL,2016,Matt Duchene,C,76,30,29,59,0.78,18.2,1
MTL,2016,Max Pacioretty,LW,82,28,36,64,0.78,18.5,1
WPG,2016,Blake Wheeler,RW,78,26,52,78,1.00,20.2,1
CGY,2016,Johnny Gaudreau,LW,79,30,48,78,0.99,18.5,1
