team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
PIT,2017,+500,0.167,−400,0.800,1,1
WSH,2017,+600,0.143,−380,0.792,1,0
CHI,2017,+700,0.125,−350,0.778,1,0
TBL,2017,+900,0.100,−300,0.750,0,0
SJS,2017,+1000,0.091,−280,0.737,1,0
ANA,2017,+1000,0.091,−280,0.737,1,0
MTL,2017,+1200,0.077,−250,0.714,1,0
NYR,2017,+1200,0.077,−250,0.714,1,0
STL,2017,+1400,0.067,−220,0.688,1,0
EDM,2017,+1400,0.067,−200,0.667,1,0
MIN,2017,+1600,0.059,−180,0.643,1,0
BOS,2017,+1600,0.059,−180,0.643,1,0
NSH,2017,+1800,0.053,−160,0.615,1,0
CBJ,2017,+1800,0.053,−160,0.615,1,0
TOR,2017,+2000,0.048,−140,0.583,1,0
FLA,2017,+2200,0.043,−130,0.565,0,0
OTT,2017,+2500,0.038,−120,0.545,1,0
CGY,2017,+2500,0.038,−120,0.545,1,0
PHI,2017,+2800,0.034,−110,0.524,0,0
LAK,2017,+3000,0.032,+100,0.500,0,0
NYI,2017,+3500,0.028,+110,0.476,0,0
DAL,2017,+4000,0.024,+130,0.435,0,0
WPG,2017,+4000,0.024,+140,0.417,0,0
CAR,2017,+4500,0.022,+150,0.400,0,0
DET,2017,+5000,0.020,+160,0.385,0,0
NJD,2017,+6000,0.016,+200,0.333,0,0
BUF,2017,+8000,0.012,+250,0.286,0,0
VAN,2017,+10000,0.010,+300,0.250,0,0
ARI,2017,+12000,0.008,+350,0.222,0,0
COL,2017,+15000,0.007,+400,0.200,0,0
