team,team_name,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goal_differential,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
COL,Colorado Avalanche,2022,82,56,19,7,119,0.726,312,234,78,29,8,4,27,11,3,1,1
FLA,Florida Panthers,2022,82,58,18,6,122,0.744,337,252,85,33,5,3,25,13,3,1,0
CAR,Carolina Hurricanes,2022,82,54,20,8,116,0.707,277,202,75,29,8,4,25,12,4,1,0
TOR,Toronto Maple Leafs,2022,82,54,21,7,115,0.701,315,254,61,29,9,3,25,12,4,1,0
NYR,New York Rangers,2022,82,52,24,6,110,0.671,253,207,46,29,9,3,23,15,3,1,0
MIN,Minnesota Wild,2022,82,53,22,7,113,0.689,310,253,57,26,12,3,27,10,4,1,0
STL,St. Louis Blues,2022,82,49,22,11,109,0.665,311,242,69,27,9,5,22,13,6,1,0
CGY,Calgary Flames,2022,82,50,21,11,111,0.677,291,208,83,28,9,4,22,12,7,1,0
EDM,Edmonton Oilers,2022,82,49,27,6,104,0.634,291,252,39,27,11,3,22,16,3,1,0
TB,Tampa Bay Lightning,2022,82,51,23,8,110,0.671,285,228,57,28,10,3,23,13,5,1,0
BOS,Boston Bruins,2022,82,51,26,5,107,0.652,253,212,41,28,10,3,23,16,2,1,0
PIT,Pittsburgh Penguins,2022,82,46,25,11,103,0.628,273,254,19,24,12,5,22,13,6,1,0
WSH,Washington Capitals,2022,82,44,26,12,100,0.610,275,252,23,22,14,5,22,12,7,1,0
LA,Los Angeles Kings,2022,82,44,27,11,99,0.604,235,233,2,21,15,5,23,12,6,1,0
DAL,Dallas Stars,2022,82,46,30,6,98,0.598,238,246,-8,26,11,4,20,19,2,1,0
NSH,Nashville Predators,2022,82,45,30,7,97,0.591,266,252,14,25,13,3,20,17,4,1,0
VGK,Vegas Golden Knights,2022,82,43,31,8,94,0.573,262,258,4,24,12,5,19,19,3,0,0
VAN,Vancouver Canucks,2022,82,40,30,12,92,0.561,246,254,-8,23,13,5,17,17,7,0,0
WPG,Winnipeg Jets,2022,82,39,32,11,89,0.543,252,257,-5,22,14,5,17,18,6,0,0
DET,Detroit Red Wings,2022,82,32,40,10,74,0.451,228,310,-82,18,19,4,14,21,6,0,0
CBJ,Columbus Blue Jackets,2022,82,37,38,7,81,0.494,258,297,-39,21,16,4,16,22,3,0,0
SJ,San Jose Sharks,2022,82,32,37,13,77,0.470,214,264,-50,21,16,4,11,21,9,0,0
NYI,New York Islanders,2022,82,37,35,10,84,0.512,229,231,-2,21,15,5,16,20,5,0,0
ANA,Anaheim Ducks,2022,82,31,37,14,76,0.463,233,302,-69,15,21,5,16,16,9,0,0
OTT,Ottawa Senators,2022,82,33,42,7,73,0.445,227,273,-46,18,18,5,15,24,2,0,0
BUF,Buffalo Sabres,2022,82,32,39,11,75,0.457,229,279,-50,16,20,5,16,19,6,0,0
PHI,Philadelphia Flyers,2022,82,25,46,11,61,0.372,210,299,-89,14,22,5,11,24,6,0,0
NJ,New Jersey Devils,2022,82,27,46,9,63,0.384,244,307,-63,15,21,5,12,25,4,0,0
CHI,Chicago Blackhawks,2022,82,28,42,12,68,0.415,219,291,-72,16,20,5,12,22,7,0,0
SEA,Seattle Kraken,2022,82,27,49,6,60,0.366,216,285,-69,16,22,3,11,27,3,0,0
ARI,Arizona Coyotes,2022,82,25,50,7,57,0.348,207,313,-106,14,24,3,11,26,4,0,0
MTL,Montreal Canadiens,2022,82,22,49,11,55,0.335,215,318,-103,10,27,4,12,22,7,0,0
