team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2024,0,0,0,0,0,0,0,0,0,0
ARI,2024,0,0,0,0,0,0,0,0,0,0
BOS,2024,24,4,1,3,1,1,0,1,5,5
BUF,2024,0,0,0,0,0,0,0,0,0,0
CGY,2024,10,2,1,1,0,0,0,0,0,0
CAR,2024,36,7,4,3,2,0,0,1,5,5
CHI,2024,0,0,0,0,0,0,0,0,0,0
COL,2024,36,8,5,3,1,1,1,1,6,5
CBJ,2024,0,0,0,0,0,0,0,0,0,0
DAL,2024,24,4,2,2,2,1,0,2,10,7
DET,2024,0,0,0,0,0,0,0,0,0,0
EDM,2024,32,6,3,3,1,0,0,3,14,10
FLA,2024,39,7,4,3,1,1,0,4,16,8
LAK,2024,13,2,0,2,0,0,0,0,1,4
MIN,2024,19,3,0,3,0,0,0,0,0,0
MTL,2024,21,4,3,1,1,1,0,0,0,0
NSH,2024,10,2,0,2,0,0,0,0,2,4
NJD,2024,10,2,1,1,0,0,0,0,0,0
NYI,2024,25,4,2,2,2,0,0,0,1,4
NYR,2024,26,4,2,2,1,0,0,2,9,7
OTT,2024,0,0,0,0,0,0,0,0,0,0
PHI,2024,0,0,0,0,0,0,0,0,0,0
PIT,2024,13,2,0,2,0,0,0,0,0,0
SJS,2024,0,0,0,0,1,0,0,0,0,0
STL,2024,16,3,1,2,1,1,1,0,0,0
TBL,2024,50,10,7,3,3,3,2,0,1,4
TOR,2024,25,4,1,3,0,0,0,0,3,4
VAN,2024,0,0,0,0,0,0,0,1,6,6
WSH,2024,11,2,0,2,0,0,0,0,0,4
WPG,2024,13,3,1,2,0,0,0,0,1,4
VGK,2024,38,8,6,2,3,1,1,0,3,4
SEA,2024,12,2,1,1,0,0,0,0,0,0
