team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,made_playoffs,playoff_success,won_cup
ANA,2011,82,51,20,11,113,271,202,True,1,False
ARI,2011,82,27,50,5,59,235,232,False,0,False
BOS,2011,82,56,20,6,118,251,183,True,4,True
BUF,2011,82,49,18,15,113,276,213,True,1,False
CGY,2011,82,35,37,10,80,282,190,False,0,False
CAR,2011,82,37,35,10,84,266,245,False,0,False
CHI,2011,82,46,30,6,98,271,256,True,1,False
COL,2011,82,40,37,5,85,225,260,False,0,False
CBJ,2011,82,45,24,13,103,254,185,False,0,False
DAL,2011,82,32,41,9,73,193,263,False,0,False
DET,2011,82,38,30,14,90,262,248,True,1,False
EDM,2011,82,34,33,15,83,231,197,False,0,False
FLA,2011,82,35,38,9,79,271,187,False,0,False
LAK,2011,82,43,24,15,101,229,251,True,1,False
MIN,2011,82,34,43,5,73,206,212,False,0,False
MTL,2011,82,45,25,12,102,211,276,True,1,False
NSH,2011,82,49,21,12,110,204,231,True,1,False
NJD,2011,82,40,34,8,88,218,181,False,0,False
NYI,2011,82,35,39,8,78,246,228,False,0,False
NYR,2011,82,39,34,9,87,262,221,True,1,False
OTT,2011,82,31,36,15,77,193,231,False,0,False
PHI,2011,82,49,25,8,106,218,244,True,1,False
PIT,2011,82,50,17,15,115,200,264,True,1,False
SJS,2011,82,48,27,7,103,258,223,True,2,False
STL,2011,82,31,39,12,74,209,203,False,0,False
TBL,2011,82,45,22,15,105,205,237,True,2,False
TOR,2011,82,43,26,13,99,243,186,False,0,False
VAN,2011,82,42,28,12,96,279,181,True,3,False
WSH,2011,82,40,36,6,86,196,232,True,1,False
WPG,2011,82,30,40,12,72,236,234,False,0,False
