team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2022,0,0,0,0,1,0,0,0,0,0
ARI,2022,5,1,0,1,0,0,0,0,0,0
BOS,2022,47,8,5,3,1,1,0,0,3,4
BUF,2022,0,0,0,0,0,0,0,0,0,0
CGY,2022,11,2,0,2,0,0,0,1,5,5
CAR,2022,31,6,3,3,1,0,0,1,7,6
CHI,2022,5,1,0,1,0,0,0,0,0,0
COL,2022,33,6,3,3,0,0,0,4,16,4
CBJ,2022,11,2,1,1,0,0,0,0,0,0
DAL,2022,37,6,4,2,1,1,0,0,3,4
DET,2022,0,0,0,0,0,0,0,0,0,0
EDM,2022,4,1,0,1,0,0,0,2,10,7
FLA,2022,6,1,0,1,0,0,0,1,6,5
LAK,2022,0,0,0,0,0,0,0,0,3,4
MIN,2022,7,1,0,1,0,0,0,0,2,4
MTL,2022,31,5,3,2,1,1,0,0,0,0
NSH,2022,12,2,0,2,1,1,0,0,0,4
NJD,2022,0,0,0,0,0,0,0,0,0,0
NYI,2022,45,8,5,3,2,0,0,0,0,0
NYR,2022,0,0,0,0,0,0,0,2,11,8
OTT,2022,0,0,0,0,1,0,0,0,0,0
PHI,2022,13,2,1,1,0,0,0,0,0,0
PIT,2022,10,2,0,2,1,1,1,0,3,4
SJS,2022,20,3,2,1,1,0,0,0,0,0
STL,2022,36,7,4,3,1,1,1,1,6,6
TBL,2022,46,11,8,3,3,2,2,3,14,9
TOR,2022,20,3,0,3,0,0,0,0,3,4
VAN,2022,17,2,1,1,0,0,0,0,0,0
WSH,2022,17,3,0,3,1,1,1,0,2,4
WPG,2022,14,3,1,2,1,0,0,0,0,0
VGK,2022,40,7,4,3,3,1,0,0,0,0
SEA,2022,0,0,0,0,0,0,0,0,0,0
