team,season,cf_pct,xgf_pct,hdcf_pct,gsax,pp_pct,pk_pct,pdo,home_games,home_win_pct,away_games,away_win_pct
ANA,2011,52.71,52.25,51.05,-9.25,14.38,85.01,101.81,41,60.08,41,52.97
ARI,2011,47.42,52.89,50.5,-2.04,14.95,76.19,99.04,41,44.32,41,44.59
BOS,2011,55.09,54.58,56.87,19.57,15.5,77.35,98.44,41,62.91,41,57.33
BUF,2011,45.11,53.17,48.46,2.87,17.93,87.58,99.67,41,58.24,41,49.7
CGY,2011,50.22,51.12,45.02,-6.11,15.89,82.05,98.57,41,54.54,41,51.76
CAR,2011,49.95,50.64,45.59,0.72,22.1,80.88,97.46,41,57.68,41,38.48
CHI,2011,53.41,50.56,44.93,-5.12,14.42,84.91,98.66,41,55.16,41,48.36
COL,2011,50.56,49.68,53.55,-4.29,15.3,79.96,99.29,41,64.41,41,43.02
CBJ,2011,50.8,49.86,49.89,-16.99,16.95,87.35,99.84,41,54.44,41,30.2
DAL,2011,44.1,53.66,47.75,-18.2,20.87,78.26,97.2,41,52.66,41,43.99
DET,2011,45.57,49.74,44.02,-7.33,17.52,77.05,99.0,41,45.96,41,32.52
EDM,2011,45.06,53.21,45.62,9.16,20.25,82.12,100.39,41,36.26,41,44.02
FLA,2011,44.33,45.6,51.87,-4.44,18.39,82.56,99.33,41,40.36,41,52.52
LAK,2011,52.96,44.53,53.11,-0.53,15.56,84.27,99.45,41,56.25,41,34.67
MIN,2011,53.88,51.16,53.73,-1.07,15.06,82.21,99.88,41,63.25,41,35.16
MTL,2011,44.58,45.6,53.64,6.69,16.19,80.1,100.78,41,61.45,41,31.41
NSH,2011,46.52,46.05,52.88,5.57,23.88,82.72,99.39,41,57.1,41,53.73
NJD,2011,49.81,52.45,45.88,-5.36,18.36,82.29,100.58,41,43.72,41,43.95
NYI,2011,48.66,52.86,44.33,-19.7,21.4,84.67,98.53,41,51.03,41,47.56
NYR,2011,50.38,53.8,45.68,0.76,17.95,82.94,101.45,41,61.83,41,37.56
OTT,2011,45.47,47.45,44.89,-6.29,17.76,84.09,100.47,41,61.56,41,38.6
PHI,2011,44.19,50.9,45.68,-1.28,17.93,76.71,98.86,41,37.95,41,36.82
PIT,2011,48.34,50.21,50.44,1.41,19.43,79.55,99.21,41,35.73,41,45.08
SJS,2011,51.7,52.04,52.98,7.42,15.36,85.54,102.21,41,58.86,41,53.75
STL,2011,48.71,50.67,44.9,7.49,20.95,77.34,99.03,41,38.27,41,42.39
TBL,2011,50.59,47.44,49.96,-13.71,21.9,78.74,97.79,41,48.91,41,43.6
TOR,2011,51.21,49.3,48.92,-4.45,18.04,76.13,100.94,41,64.45,41,47.03
VAN,2011,52.62,50.9,52.86,17.8,15.19,78.86,97.37,41,61.3,41,58.07
WSH,2011,47.97,48.32,45.25,-11.0,18.79,77.87,101.24,41,36.84,41,54.85
WPG,2011,44.47,50.51,44.74,-0.76,19.32,84.16,97.74,41,36.91,41,35.32
