team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
TBL,2019,+400,0.200,−450,0.818,1,0
TOR,2019,+700,0.125,−350,0.778,1,0
NSH,2019,+800,0.111,−300,0.750,1,0
WPG,2019,+900,0.100,−280,0.737,1,0
BOS,2019,+1000,0.091,−280,0.737,1,0
CGY,2019,+1000,0.091,−300,0.750,1,0
SJS,2019,+1200,0.077,−250,0.714,1,0
PIT,2019,+1400,0.067,−220,0.688,1,0
WSH,2019,+1400,0.067,−220,0.688,1,0
VGK,2019,+1600,0.059,−200,0.667,1,0
COL,2019,+1800,0.053,−180,0.643,1,0
DAL,2019,+2000,0.048,−160,0.615,1,0
STL,2019,+2200,0.043,−140,0.583,1,1
NYI,2019,+2500,0.038,−130,0.565,1,0
CAR,2019,+2800,0.034,−120,0.545,1,0
CBJ,2019,+3000,0.032,−110,0.524,1,0
MIN,2019,+3500,0.028,+100,0.500,0,0
FLA,2019,+4000,0.024,+120,0.455,0,0
MTL,2019,+4000,0.024,+110,0.476,0,0
PHI,2019,+4500,0.022,+140,0.417,0,0
ARI,2019,+5000,0.020,+160,0.385,0,0
EDM,2019,+5000,0.020,+150,0.400,0,0
VAN,2019,+6000,0.016,+200,0.333,0,0
BUF,2019,+6000,0.016,+180,0.357,0,0
CHI,2019,+8000,0.012,+250,0.286,0,0
DET,2019,+10000,0.010,+300,0.250,0,0
NYR,2019,+10000,0.010,+280,0.263,0,0
ANA,2019,+12000,0.008,+320,0.238,0,0
NJD,2019,+12000,0.008,+300,0.250,0,0
LAK,2019,+15000,0.007,+400,0.200,0,0
OTT,2019,+20000,0.005,+500,0.167,0,0
