team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
ANA,2014,17,10,6,10,5,2,7,8,3
ARI,2014,15,17,3,8,6,1,4,6,2
BOS,2014,14,18,7,6,5,2,8,12,4
BUF,2014,8,20,4,3,2,1,5,4,2
CGY,2014,12,12,6,5,2,5,5,7,5
CAR,2014,15,14,4,7,5,3,9,9,7
CHI,2014,12,15,6,9,5,4,7,4,6
COL,2014,13,18,4,7,5,3,11,8,6
CBJ,2014,19,17,4,4,4,4,8,4,4
DAL,2014,16,19,9,5,5,2,5,9,2
DET,2014,18,15,7,7,3,4,7,10,4
EDM,2014,14,20,2,4,2,4,3,8,4
FLA,2014,16,17,4,7,2,4,9,7,5
LAK,2014,20,16,9,9,5,2,12,6,5
MIN,2014,16,14,5,6,3,2,8,7,6
MTL,2014,18,11,9,3,6,5,11,4,4
NSH,2014,14,14,4,9,4,2,4,12,7
NJD,2014,10,19,7,10,5,2,4,11,3
NYI,2014,14,13,7,8,5,1,5,8,3
NYR,2014,19,12,6,5,6,2,7,8,5
OTT,2014,14,10,3,6,6,3,6,9,4
PHI,2014,20,13,4,4,4,3,12,10,5
PIT,2014,19,10,5,3,4,4,8,4,6
SJS,2014,13,19,5,3,5,5,11,9,5
STL,2014,18,14,7,7,2,5,10,8,4
TBL,2014,16,19,4,4,4,1,10,11,5
TOR,2014,8,19,7,8,5,4,7,11,2
VAN,2014,16,17,7,3,6,4,6,5,8
WSH,2014,15,20,4,6,5,5,6,12,8
WPG,2014,12,17,5,10,5,3,8,9,2
