team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
COL,2021,15,6,4,2,3,2,11,4,8
VGK,2021,14,7,4,2,4,2,10,5,7
TBL,2021,13,8,3,2,4,3,9,5,6
CAR,2021,14,7,4,3,3,3,10,5,7
FLA,2021,12,8,3,3,4,3,8,6,5
TOR,2021,13,8,3,3,4,3,9,5,6
EDM,2021,11,9,3,3,3,4,7,6,4
WPG,2021,12,9,3,3,3,4,8,6,5
BOS,2021,11,9,2,4,4,3,7,7,4
PIT,2021,13,8,4,3,2,4,9,5,6
NYI,2021,14,7,4,2,3,4,10,4,7
WSH,2021,10,10,2,4,3,4,6,8,3
MIN,2021,11,9,3,3,3,5,7,7,4
STL,2021,10,10,2,4,3,5,6,8,3
NSH,2021,9,10,2,4,3,5,5,8,3
MTL,2021,11,9,3,4,2,4,7,7,4
CHI,2021,8,11,2,4,2,5,4,9,2
DAL,2021,9,10,2,4,3,5,5,8,3
PHI,2021,10,10,3,4,2,5,6,8,3
NYR,2021,9,10,2,4,3,5,5,8,3
CGY,2021,9,10,2,4,3,5,5,8,3
LAK,2021,8,11,2,4,2,5,4,9,2
ARI,2021,9,10,2,4,3,5,5,8,3
SJ,2021,8,11,2,4,2,5,4,9,2
NJD,2021,9,10,2,4,3,5,5,8,3
VAN,2021,8,11,2,5,2,5,4,9,2
OTT,2021,7,12,2,4,1,5,3,10,1
DET,2021,6,13,1,5,2,5,2,11,1
BUF,2021,5,14,1,5,1,5,2,12,0
ANA,2021,7,12,2,4,2,5,3,10,1
CBJ,2021,8,11,2,4,3,5,4,9,2
