team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
COL,2021,+500,0.167,−400,0.800,1,0
TBL,2021,+600,0.143,−380,0.792,1,1
VGK,2021,+700,0.125,−350,0.778,1,0
TOR,2021,+900,0.100,−300,0.750,1,0
BOS,2021,+1000,0.091,−280,0.737,1,0
CAR,2021,+1200,0.077,−250,0.714,1,0
NYI,2021,+1400,0.067,−200,0.667,1,0
PIT,2021,+1400,0.067,−200,0.667,1,0
WPG,2021,+1600,0.059,−180,0.643,1,0
EDM,2021,+1600,0.059,−180,0.643,1,0
FLA,2021,+1800,0.053,−160,0.615,1,0
MIN,2021,+2000,0.048,−150,0.600,1,0
WSH,2021,+2000,0.048,−150,0.600,1,0
STL,2021,+2200,0.043,−130,0.565,1,0
PHI,2021,+2500,0.038,−120,0.545,0,0
MTL,2021,+3000,0.032,+100,0.500,1,0
NSH,2021,+3000,0.032,+110,0.476,1,0
CHI,2021,+3500,0.028,+130,0.435,0,0
DAL,2021,+3500,0.028,+140,0.417,0,0
NYR,2021,+4000,0.024,+160,0.385,0,0
CGY,2021,+4000,0.024,+150,0.400,0,0
ARI,2021,+5000,0.020,+180,0.357,0,0
VAN,2021,+5000,0.020,+200,0.333,0,0
NJD,2021,+6000,0.016,+220,0.313,0,0
CBJ,2021,+6000,0.016,+200,0.333,0,0
LAK,2021,+8000,0.012,+280,0.263,0,0
SJ,2021,+8000,0.012,+250,0.286,0,0
BUF,2021,+10000,0.010,+300,0.250,0,0
OTT,2021,+12000,0.008,+350,0.222,0,0
ANA,2021,+15000,0.007,+400,0.200,0,0
DET,2021,+20000,0.005,+500,0.167,0,0
