team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2015,20,3,1,2,0,0,0,2,9,7
ARI,2015,0,0,0,0,0,0,0,0,0,0
BOS,2015,40,8,5,3,2,2,1,0,0,0
BUF,2015,0,0,0,0,0,0,0,0,0,0
CGY,2015,0,0,0,0,0,0,0,1,4,5
CAR,2015,0,0,0,0,0,0,0,0,0,0
CHI,2015,46,9,6,3,3,2,2,4,16,6
COL,2015,7,1,0,1,0,0,0,0,0,0
CBJ,2015,6,1,0,1,0,0,0,0,0,0
DAL,2015,6,1,0,1,0,0,0,0,0,0
DET,2015,23,4,1,3,0,0,0,0,1,4
EDM,2015,0,0,0,0,0,0,0,0,0,0
FLA,2015,7,2,1,1,0,0,0,0,0,0
LAK,2015,61,13,10,3,3,2,2,0,0,0
MIN,2015,17,3,1,2,0,0,0,1,6,6
MTL,2015,20,4,2,2,2,0,0,1,4,5
NSH,2015,11,2,1,1,0,0,0,0,2,4
NJD,2015,24,4,3,1,1,1,0,0,0,0
NYI,2015,6,1,0,1,0,0,0,0,3,4
NYR,2015,52,9,6,3,2,1,0,2,11,7
OTT,2015,16,3,1,2,0,0,0,0,2,4
PHI,2015,12,2,0,2,1,1,0,0,0,0
PIT,2015,32,6,3,3,1,0,0,0,1,4
SJS,2015,21,4,1,3,2,0,0,0,0,0
STL,2015,21,4,1,3,0,0,0,0,2,4
TBL,2015,4,1,0,1,1,0,0,3,14,8
TOR,2015,7,1,0,1,0,0,0,0,0,0
VAN,2015,9,2,0,2,2,1,0,0,2,4
WSH,2015,14,2,0,2,0,0,0,1,6,6
WPG,2015,0,0,0,0,0,0,0,0,0,4
