team,season,cf_pct,xgf_pct,hdcf_pct,gsax,pp_pct,pk_pct,pdo,home_games,home_win_pct,away_games,away_win_pct
ANA,2013,45.98,44.22,47.31,-2.38,22.04,85.23,102.43,24,59.75,24,53.26
ARI,2013,46.16,46.93,44.73,-5.5,15.53,85.3,100.43,24,35.75,24,46.89
BOS,2013,52.67,53.64,51.16,12.69,15.16,86.9,98.09,24,63.97,24,49.66
BUF,2013,49.24,49.73,44.7,-3.77,22.69,76.17,100.73,24,62.62,24,48.23
CGY,2013,50.59,47.43,53.86,-15.73,14.84,86.12,102.04,24,48.73,24,52.44
CAR,2013,50.8,49.34,52.99,13.78,20.95,84.84,98.56,24,45.12,24,49.66
CHI,2013,54.73,55.42,52.29,15.63,18.37,82.06,99.32,24,68.05,24,51.96
COL,2013,49.53,53.19,44.92,-12.42,18.38,84.93,100.28,24,56.22,24,49.74
CBJ,2013,49.36,49.25,49.84,-17.74,22.84,76.11,98.05,24,43.46,24,52.57
DAL,2013,49.36,49.76,53.88,-4.11,14.4,86.28,101.98,24,49.68,24,54.36
DET,2013,50.59,51.9,45.8,-11.39,22.07,79.69,101.09,24,60.21,24,40.95
EDM,2013,45.66,52.85,47.42,5.12,17.77,84.42,101.96,24,44.59,24,30.02
FLA,2013,45.94,44.6,50.8,-4.45,14.7,83.4,99.01,24,41.31,24,38.26
LAK,2013,47.21,53.71,46.57,5.54,16.01,81.62,97.99,24,58.95,24,33.69
MIN,2013,49.48,44.6,45.48,-19.69,16.66,83.98,101.06,24,46.2,24,51.49
MTL,2013,44.99,52.19,44.81,-13.12,20.46,82.91,98.19,24,52.23,24,30.56
NSH,2013,47.73,48.6,47.31,-5.67,20.34,85.51,102.2,24,47.58,24,34.95
NJD,2013,45.77,47.44,44.69,10.82,16.2,76.28,99.01,24,61.76,24,54.54
NYI,2013,44.5,44.06,48.54,-13.86,19.44,83.45,98.58,24,46.2,24,48.78
NYR,2013,50.46,44.57,47.75,-18.52,15.69,76.6,100.09,24,62.34,24,44.36
OTT,2013,48.62,48.8,45.41,-6.09,21.77,82.45,98.01,24,49.39,24,30.45
PHI,2013,46.17,51.47,51.31,-10.5,15.86,82.12,98.41,24,40.96,24,39.82
PIT,2013,48.58,48.65,51.38,-2.28,17.08,83.09,99.33,24,49.06,24,38.63
SJS,2013,44.13,50.24,50.68,-5.79,15.3,76.65,101.64,24,50.65,24,41.67
STL,2013,52.62,53.69,49.68,-1.9,17.4,83.31,97.86,24,55.53,24,49.7
TBL,2013,53.76,53.04,49.76,4.68,14.14,86.24,97.75,24,46.6,24,49.08
TOR,2013,50.83,44.51,47.72,6.7,15.55,84.69,101.94,24,38.38,24,48.93
VAN,2013,44.06,52.43,52.27,-5.77,18.68,76.35,101.58,24,43.23,24,43.09
WSH,2013,48.24,50.38,48.7,-6.15,17.94,82.65,102.39,24,35.38,24,33.26
WPG,2013,45.76,44.9,44.36,-11.02,15.08,82.49,99.94,24,62.82,24,49.42
