team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,made_playoffs,playoff_success,won_cup
ANA,2012,82,28,45,9,65,266,205,False,0,False
ARI,2012,82,34,39,9,77,219,266,False,0,False
BOS,2012,82,43,24,15,101,274,200,True,1,False
BUF,2012,82,39,38,5,83,245,218,False,0,False
CGY,2012,82,42,29,11,95,215,237,False,0,False
CAR,2012,82,32,44,6,70,272,184,False,0,False
CHI,2012,82,46,26,10,102,286,274,True,1,False
COL,2012,82,39,37,6,84,198,234,False,0,False
CBJ,2012,82,29,39,14,72,190,193,False,0,False
DAL,2012,82,35,34,13,83,258,241,False,0,False
DET,2012,82,46,26,10,102,246,268,True,1,False
EDM,2012,82,41,33,8,90,264,189,False,0,False
FLA,2012,82,49,22,11,109,228,188,True,1,False
LAK,2012,82,44,26,12,100,291,245,True,4,True
MIN,2012,82,30,41,11,71,269,262,False,0,False
MTL,2012,82,37,39,6,80,197,241,False,0,False
NSH,2012,82,45,25,12,102,268,186,True,1,False
NJD,2012,82,52,24,6,110,244,210,True,3,False
NYI,2012,82,35,41,6,76,226,239,False,0,False
NYR,2012,82,47,25,10,104,211,262,True,2,False
OTT,2012,82,45,30,7,97,274,257,True,1,False
PHI,2012,82,43,34,5,91,196,221,True,1,False
PIT,2012,82,45,23,14,104,240,200,True,1,False
SJS,2012,82,39,28,15,93,209,219,True,1,False
STL,2012,82,41,31,10,92,241,188,True,1,False
TBL,2012,82,42,31,9,93,260,180,False,0,False
TOR,2012,82,35,32,15,85,258,228,False,0,False
VAN,2012,82,42,27,13,97,265,245,True,1,False
WSH,2012,82,44,31,7,95,283,203,True,1,False
WPG,2012,82,37,39,6,80,229,215,False,0,False
