team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2011,4000,0.0244,-120,0.5455,True,False
ARI,2011,2000,0.0476,100,0.5,True,False
BOS,2011,800,0.1111,-120,0.5455,True,True
BUF,2011,3000,0.0323,-200,0.6667,True,False
CGY,2011,6000,0.0164,500,0.1667,False,False
CAR,2011,6000,0.0164,150,0.4,False,False
CHI,2011,2000,0.0476,150,0.4,True,False
COL,2011,6000,0.0164,150,0.4,False,False
CBJ,2011,6000,0.0164,400,0.2,False,False
DAL,2011,6000,0.0164,200,0.3333,False,False
DET,2011,3000,0.0323,-150,0.6,True,False
EDM,2011,8000,0.0123,400,0.2,False,False
FLA,2011,10000,0.0099,150,0.4,False,False
LAK,2011,3000,0.0323,-200,0.6667,True,False
MIN,2011,10000,0.0099,200,0.3333,False,False
MTL,2011,3000,0.0323,-300,0.75,True,False
NSH,2011,4000,0.0244,-150,0.6,True,False
NJD,2011,6000,0.0164,400,0.2,False,False
NYI,2011,8000,0.0123,150,0.4,False,False
NYR,2011,1500,0.0625,-200,0.6667,True,False
OTT,2011,15000,0.0066,150,0.4,False,False
PHI,2011,1500,0.0625,-150,0.6,True,False
PIT,2011,3000,0.0323,-150,0.6,True,False
SJS,2011,2000,0.0476,-300,0.75,True,False
STL,2011,8000,0.0123,500,0.1667,False,False
TBL,2011,2000,0.0476,-200,0.6667,True,False
TOR,2011,8000,0.0123,200,0.3333,False,False
VAN,2011,1000,0.0909,-120,0.5455,True,False
WSH,2011,2000,0.0476,-300,0.75,True,False
WPG,2011,5000,0.0196,150,0.4,False,False
