team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
TBL,2019,82,62,16,4,128,325,222,32,6,3,30,10,1,1,0
CGY,2019,82,50,25,7,107,289,227,27,10,4,23,15,3,1,0
BOS,2019,82,49,24,9,107,259,215,29,9,3,20,15,6,1,0
WSH,2019,82,48,26,8,104,278,249,26,11,4,22,15,4,1,0
NYI,2019,82,48,27,7,103,228,196,24,14,3,24,13,4,1,0
SJS,2019,82,46,27,9,101,289,261,25,11,5,21,16,4,1,0
TOR,2019,82,46,28,8,100,286,251,26,12,3,20,16,5,1,0
NSH,2019,82,47,29,6,100,240,214,27,12,2,20,17,4,1,0
WPG,2019,82,47,30,5,99,272,244,27,12,2,20,18,3,1,0
STL,2019,82,45,28,9,99,247,223,22,14,5,23,14,4,1,1
CAR,2019,82,46,29,7,99,245,223,24,13,4,22,16,3,1,0
PIT,2019,82,44,26,12,100,273,241,25,11,5,19,15,7,1,0
COL,2019,82,38,30,14,90,259,246,21,13,7,17,17,7,1,0
DAL,2019,82,43,32,7,93,210,202,26,13,2,17,19,5,1,0
CBJ,2019,82,47,31,4,98,258,232,26,13,2,21,18,2,1,0
VGK,2019,82,43,32,7,93,249,230,24,14,3,19,18,4,1,0
MIN,2019,82,37,36,9,83,211,239,19,17,5,18,19,4,0,0
ARI,2019,82,39,35,8,86,213,223,22,15,4,17,20,4,0,0
FLA,2019,82,36,32,14,86,267,280,20,14,7,16,18,7,0,0
PHI,2019,82,37,37,8,82,244,269,18,19,4,19,18,4,0,0
VAN,2019,82,35,36,11,81,225,254,20,17,4,15,19,7,0,0
EDM,2019,82,35,38,9,79,232,274,20,16,5,15,22,4,0,0
BUF,2019,82,33,39,10,76,226,271,18,19,4,15,20,6,0,0
MTL,2019,82,44,30,8,96,249,236,24,13,4,20,17,4,0,0
DET,2019,82,32,40,10,74,227,277,17,19,5,15,21,5,0,0
ANA,2019,82,35,37,10,80,199,251,21,16,4,14,21,6,0,0
CHI,2019,82,36,34,12,84,270,292,17,18,6,19,16,6,0,0
NYR,2019,82,32,36,14,78,227,272,18,17,6,14,19,8,0,0
NJD,2019,82,31,41,10,72,222,275,17,19,5,14,22,5,0,0
OTT,2019,82,29,47,6,64,242,302,18,20,3,11,27,3,0,0
LAK,2019,82,31,42,9,71,202,263,15,22,4,16,20,5,0,0
