team,team_name,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goal_differential,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
FLA,Florida Panthers,2024,82,52,24,6,110,0.671,259,199,60,28,9,4,24,15,2,1,1
DAL,Dallas Stars,2024,82,52,21,9,113,0.689,298,231,67,26,12,3,26,9,6,1,0
VGK,Vegas Golden Knights,2024,82,45,29,8,98,0.598,263,245,18,26,10,5,19,19,3,1,0
COL,Colorado Avalanche,2024,82,50,25,7,107,0.652,287,229,58,28,10,3,22,15,4,1,0
EDM,Edmonton Oilers,2024,82,49,27,6,104,0.634,285,237,48,27,10,4,22,17,2,1,0
VAN,Vancouver Canucks,2024,82,50,23,9,109,0.665,267,217,50,27,10,4,23,13,5,1,0
WPG,Winnipeg Jets,2024,82,52,24,6,110,0.671,254,197,57,27,12,2,25,12,4,1,0
BOS,Boston Bruins,2024,82,47,20,15,109,0.665,257,212,45,24,11,6,23,9,9,1,0
NYR,New York Rangers,2024,82,55,23,4,114,0.695,266,202,64,31,8,2,24,15,2,1,0
CAR,Carolina Hurricanes,2024,82,52,23,7,111,0.677,265,213,52,29,8,4,23,15,3,1,0
TOR,Toronto Maple Leafs,2024,82,46,26,10,102,0.622,282,248,34,26,9,6,20,17,4,1,0
TB,Tampa Bay Lightning,2024,82,45,29,8,98,0.598,260,248,12,25,13,3,20,16,5,1,0
LA,Los Angeles Kings,2024,82,44,27,11,99,0.604,259,244,15,24,12,5,20,15,6,1,0
NSH,Nashville Predators,2024,82,47,30,5,99,0.604,260,246,14,27,12,2,20,18,3,1,0
DET,Detroit Red Wings,2024,82,41,32,9,91,0.555,252,266,-14,24,13,4,17,19,5,1,0
PHI,Philadelphia Flyers,2024,82,38,33,11,87,0.530,243,267,-24,21,16,4,17,17,7,0,0
STL,St. Louis Blues,2024,82,43,33,6,92,0.561,244,251,-7,24,14,3,19,19,3,0,0
PIT,Pittsburgh Penguins,2024,82,38,32,12,88,0.537,244,262,-18,21,15,5,17,17,7,0,0
NYI,New York Islanders,2024,82,39,27,16,94,0.573,232,238,-6,20,15,6,19,12,10,0,0
OTT,Ottawa Senators,2024,82,37,41,4,78,0.476,259,302,-43,22,17,2,15,24,2,0,0
BUF,Buffalo Sabres,2024,82,39,37,6,84,0.512,252,265,-13,23,15,3,16,22,3,0,0
CGY,Calgary Flames,2024,82,38,39,5,81,0.494,236,262,-26,20,19,2,18,20,3,0,0
MTL,Montreal Canadiens,2024,82,30,36,16,76,0.463,237,284,-47,14,21,6,16,15,10,0,0
MIN,Minnesota Wild,2024,82,39,34,9,87,0.530,225,233,-8,19,17,5,20,17,4,0,0
SEA,Seattle Kraken,2024,82,34,35,13,81,0.494,222,258,-36,18,17,6,16,18,7,0,0
NJ,New Jersey Devils,2024,82,38,39,5,81,0.494,251,274,-23,22,17,2,16,22,3,0,0
ANA,Anaheim Ducks,2024,82,27,50,5,59,0.360,200,296,-96,17,22,2,10,28,3,0,0
CBJ,Columbus Blue Jackets,2024,82,27,43,12,66,0.402,211,298,-87,16,19,6,11,24,6,0,0
CHI,Chicago Blackhawks,2024,82,23,53,6,52,0.317,176,301,-125,13,26,2,10,27,4,0,0
SJ,San Jose Sharks,2024,82,19,54,9,47,0.287,180,320,-140,12,27,2,7,27,7,0,0
WSH,Washington Capitals,2024,82,40,31,11,91,0.555,252,250,2,22,13,6,18,18,5,0,0
UTA,Utah Hockey Club,2024,82,36,37,9,81,0.494,243,261,-18,20,17,4,16,20,5,0,0
