team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
COL,2023,Nathan MacKinnon,C,71,42,69,111,1.56,22.0,1
COL,2023,Mikko Rantanen,RW,82,55,50,105,1.28,20.5,1
COL,2023,Cale Makar,D,80,17,52,69,0.86,25.0,1
VGK,2023,Jack Eichel,C,67,28,38,66,0.99,20.0,1
VGK,2023,Mark Stone,RW,43,18,24,42,0.98,18.0,1
FLA,2023,Matthew Tkachuk,LW,79,40,69,109,1.38,19.5,1
FLA,2023,Aleksander Barkov,C,67,23,55,78,1.16,20.0,1
EDM,2023,Connor McDavid,C,82,64,89,153,1.87,22.5,1
EDM,2023,Leon Draisaitl,C,80,52,76,128,1.60,21.5,1
DAL,2023,Jason Robertson,LW,82,46,63,109,1.33,18.5,1
DAL,2023,Roope Hintz,C,80,37,27,64,0.80,18.0,1
CAR,2023,Sebastian Aho,C,82,36,56,92,1.12,20.0,1
CAR,2023,Andrei Svechnikov,RW,64,27,37,64,1.00,18.0,1
NYR,2023,Artemi Panarin,LW,75,34,62,96,1.28,19.5,1
NYR,2023,Adam Fox,D,78,15,57,72,0.92,24.0,1
TOR,2023,Auston Matthews,C,74,40,29,69,0.93,20.5,1
TOR,2023,Mitch Marner,RW,82,28,59,87,1.06,20.0,1
BOS,2023,David Pastrnak,RW,82,61,52,113,1.38,19.0,1
BOS,2023,Brad Marchand,LW,77,29,52,81,1.05,18.0,1
TB,2023,Nikita Kucherov,RW,82,30,83,113,1.38,19.5,1
TB,2023,Brayden Point,C,80,37,40,77,0.96,18.0,1
MIN,2023,Kirill Kaprizov,LW,67,33,47,80,1.19,20.0,1
WSH,2023,Alex Ovechkin,LW,73,42,32,74,1.01,18.0,1
PIT,2023,Sidney Crosby,C,82,33,60,93,1.13,20.0,1
PIT,2023,Evgeni Malkin,C,82,27,55,82,1.00,18.0,1
NJ,2023,Jack Hughes,C,80,43,56,99,1.24,19.5,1
NJ,2023,Jesper Bratt,LW,82,32,58,90,1.10,19.0,1
VAN,2023,Elias Pettersson,C,80,39,63,102,1.28,20.0,1
VAN,2023,JT Miller,C,83,32,55,87,1.05,20.5,1
WPG,2023,Kyle Connor,LW,82,37,56,93,1.13,19.5,1
BUF,2023,Tage Thompson,C,78,47,47,94,1.21,20.0,1
CGY,2023,Jonathan Huberdeau,LW,82,15,40,55,0.67,18.0,0
STL,2023,Robert Thomas,C,82,22,57,79,0.96,19.5,1
OTT,2023,Brady Tkachuk,LW,82,37,36,73,0.89,19.0,1
DET,2023,Dylan Larkin,C,80,32,47,79,0.99,20.0,1
ANA,2023,Troy Terry,RW,82,24,37,61,0.74,18.0,0
CHI,2023,Patrick Kane,RW,54,12,32,44,0.81,18.0,1
SJ,2023,Tomas Hertl,C,78,23,43,66,0.85,18.0,0
LA,2023,Anze Kopitar,C,82,27,50,77,0.94,20.0,1
NSH,2023,Filip Forsberg,LW,50,15,25,40,0.80,18.0,1
MTL,2023,Nick Suzuki,C,82,27,39,66,0.80,19.5,1
PHI,2023,Travis Konecny,RW,78,28,33,61,0.78,18.0,1
NYI,2023,Mathew Barzal,C,58,20,40,60,1.03,20.0,1
CBJ,2023,Johnny Gaudreau,LW,82,18,56,74,0.90,18.5,1
SEA,2023,Jared McCann,C,80,27,31,58,0.73,18.0,1
ARI,2023,Clayton Keller,RW,82,37,49,86,1.05,19.0,1
