team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2013,6,1,0,1,0,0,0,0,3,4
ARI,2013,0,0,0,0,0,0,0,0,0,0
BOS,2013,41,9,6,3,1,1,1,3,14,8
BUF,2013,13,2,0,2,0,0,0,0,0,0
CGY,2013,0,0,0,0,0,0,0,0,0,0
CAR,2013,0,0,0,0,0,0,0,0,0,0
CHI,2013,35,7,4,3,1,1,1,4,16,6
COL,2013,6,1,0,1,0,0,0,0,0,0
CBJ,2013,0,0,0,0,0,0,0,0,0,0
DAL,2013,0,0,0,0,0,0,0,0,0,0
DET,2013,21,5,2,3,0,0,0,1,7,6
EDM,2013,0,0,0,0,0,0,0,0,0,0
FLA,2013,7,2,1,1,0,0,0,0,0,0
LAK,2013,32,7,4,3,1,1,1,2,9,6
MIN,2013,0,0,0,0,0,0,0,0,1,4
MTL,2013,21,4,2,2,1,0,0,0,1,4
NSH,2013,29,5,2,3,0,0,0,0,0,0
NJD,2013,29,5,3,2,1,1,0,0,0,0
NYI,2013,0,0,0,0,0,0,0,0,2,4
NYR,2013,23,4,2,2,1,0,0,1,6,6
OTT,2013,13,2,0,2,0,0,0,1,4,5
PHI,2013,33,7,4,3,1,1,0,0,0,0
PIT,2013,21,4,1,3,0,0,0,2,9,5
SJS,2013,32,7,4,3,2,0,0,1,4,5
STL,2013,9,2,1,1,0,0,0,0,2,4
TBL,2013,18,3,2,1,1,0,0,0,0,0
TOR,2013,0,0,0,0,0,0,0,0,3,4
VAN,2013,40,8,5,3,2,1,0,0,0,4
WSH,2013,23,4,1,3,0,0,0,0,3,4
WPG,2013,0,0,0,0,0,0,0,0,0,0
