team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2011,0,0,0,0,0,0,0,0,2,4
ARI,2011,0,0,0,0,0,0,0,0,0,0
BOS,2011,8,2,1,1,0,0,0,4,16,9
BUF,2011,6,1,0,1,0,0,0,0,3,4
CGY,2011,0,0,0,0,0,0,0,0,0,0
CAR,2011,0,0,0,0,0,0,0,0,0,0
CHI,2011,22,5,4,1,1,1,1,0,3,4
COL,2011,6,1,0,1,0,0,0,0,0,0
CBJ,2011,0,0,0,0,0,0,0,0,0,0
DAL,2011,0,0,0,0,0,0,0,0,0,0
DET,2011,8,2,1,1,0,0,0,1,4,4
EDM,2011,0,0,0,0,0,0,0,0,0,0
FLA,2011,0,0,0,0,0,0,0,0,0,0
LAK,2011,6,1,0,1,0,0,0,0,2,4
MIN,2011,0,0,0,0,0,0,0,0,0,0
MTL,2011,14,3,2,1,1,0,0,0,3,4
NSH,2011,6,1,0,1,0,0,0,1,6,6
NJD,2011,5,1,0,1,0,0,0,0,0,0
NYI,2011,0,0,0,0,0,0,0,0,0,0
NYR,2011,0,0,0,0,0,0,0,0,1,4
OTT,2011,6,1,0,1,0,0,0,0,0,0
PHI,2011,19,4,3,1,1,1,0,1,4,5
PIT,2011,8,2,1,1,0,0,0,0,3,4
SJS,2011,13,3,2,1,1,0,0,2,8,6
STL,2011,0,0,0,0,0,0,0,0,0,0
TBL,2011,0,0,0,0,0,0,0,2,11,7
TOR,2011,0,0,0,0,0,0,0,0,0,0
VAN,2011,10,3,2,1,1,0,0,3,15,10
WSH,2011,7,1,0,1,0,0,0,1,4,5
WPG,2011,0,0,0,0,0,0,0,0,0,0
