team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
TBL,2018,+550,0.154,−380,0.792,1,0
PIT,2018,+700,0.125,−320,0.762,1,0
NSH,2018,+700,0.125,−350,0.778,1,0
BOS,2018,+900,0.100,−300,0.750,1,0
WSH,2018,+1000,0.091,−280,0.737,1,1
TOR,2018,+1200,0.077,−250,0.714,1,0
WPG,2018,+1200,0.077,−250,0.714,1,0
STL,2018,+1400,0.067,−200,0.667,0,0
SJS,2018,+1400,0.067,−200,0.667,1,0
VGK,2018,+1600,0.059,−180,0.643,1,0
LAK,2018,+1600,0.059,−180,0.643,1,0
MIN,2018,+1800,0.053,−160,0.615,1,0
COL,2018,+2000,0.048,−140,0.583,1,0
ANA,2018,+2000,0.048,−150,0.600,1,0
PHI,2018,+2200,0.043,−130,0.565,1,0
NJD,2018,+2500,0.038,−120,0.545,1,0
DAL,2018,+2800,0.034,−110,0.524,0,0
CBJ,2018,+3000,0.032,+100,0.500,1,0
FLA,2018,+3500,0.028,+110,0.476,0,0
CAR,2018,+4000,0.024,+130,0.435,0,0
CGY,2018,+4500,0.022,+150,0.400,0,0
CHI,2018,+5000,0.020,+160,0.385,0,0
EDM,2018,+5000,0.020,+140,0.417,0,0
NYI,2018,+6000,0.016,+200,0.333,0,0
NYR,2018,+6000,0.016,+180,0.357,0,0
DET,2018,+8000,0.012,+250,0.286,0,0
MTL,2018,+10000,0.010,+300,0.250,0,0
VAN,2018,+10000,0.010,+280,0.263,0,0
OTT,2018,+12000,0.008,+350,0.222,0,0
ARI,2018,+15000,0.007,+400,0.200,0,0
BUF,2018,+20000,0.005,+500,0.167,0,0
