team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
BOS,2023,9,1,0,38,18,W,7
CAR,2023,7,2,1,32,22,W,4
NJ,2023,7,3,0,33,25,W,2
TOR,2023,6,3,1,29,24,W,1
NYR,2023,6,3,1,28,23,W,3
TB,2023,6,4,0,30,27,W,2
FLA,2023,6,4,0,28,26,L,1
NYI,2023,5,4,1,24,25,W,1
PIT,2023,5,4,1,26,27,L,2
WSH,2023,4,5,1,25,29,L,3
BUF,2023,5,4,1,27,28,W,2
DET,2023,4,5,1,24,28,L,1
OTT,2023,4,5,1,25,30,L,2
PHI,2023,3,6,1,22,32,L,3
MTL,2023,3,6,1,21,31,L,4
CBJ,2023,3,6,1,20,33,L,2
VGK,2023,8,2,0,35,22,W,5
EDM,2023,7,2,1,38,26,W,4
COL,2023,6,3,1,33,27,W,2
DAL,2023,7,3,0,30,23,W,3
MIN,2023,6,4,0,28,25,W,1
WPG,2023,5,4,1,27,26,L,1
SEA,2023,6,4,0,29,26,W,2
LA,2023,6,4,0,28,25,W,1
NSH,2023,5,4,1,25,26,W,1
STL,2023,4,5,1,24,28,L,2
VAN,2023,4,5,1,25,29,L,1
CGY,2023,4,5,1,24,28,L,3
ARI,2023,4,5,1,23,28,L,1
ANA,2023,3,6,1,20,32,L,3
CHI,2023,3,6,1,19,33,L,4
SJ,2023,2,7,1,18,35,L,5
