team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
WSH,2016,7,2,1,28,20,W,3
DAL,2016,6,3,1,32,26,W,2
STL,2016,6,3,1,26,22,W,2
CHI,2016,6,3,1,28,24,W,1
PIT,2016,7,2,1,30,22,W,4
LAK,2016,6,3,1,24,20,W,2
ANA,2016,5,4,1,24,24,W,1
NYR,2016,5,4,1,28,26,W,1
SJS,2016,6,3,1,28,24,W,2
FLA,2016,6,3,1,28,24,W,2
TBL,2016,5,4,1,26,24,W,1
NSH,2016,5,4,1,28,28,W,1
NYI,2016,5,4,1,28,28,L,1
PHI,2016,5,4,1,26,28,W,1
DET,2016,5,4,1,24,26,L,2
MIN,2016,4,5,1,24,26,L,1
COL,2016,4,5,1,28,32,L,2
BOS,2016,5,4,1,28,28,W,1
NJD,2016,4,5,1,22,26,L,1
OTT,2016,4,5,1,28,32,L,2
CAR,2016,4,5,1,24,28,L,1
MTL,2016,4,5,1,28,32,L,2
ARI,2016,4,5,1,26,30,L,2
CGY,2016,3,6,1,26,34,L,3
WPG,2016,4,5,1,26,30,L,1
VAN,2016,3,6,1,22,32,L,3
BUF,2016,4,5,1,24,28,L,2
CBJ,2016,3,6,1,28,34,L,2
EDM,2016,3,6,1,26,34,L,3
TOR,2016,2,7,1,24,36,L,4
